Summoner Name,Rank,LP,Wins,Losses
Unknown,Challenger,1671,257,166
Unknown,Challenger,1670,195,121
Unknown,Challenger,1660,205,107
Unknown,Challenger,1635,289,170
Unknown,Challenger,1604,353,235
Unknown,Challenger,1599,177,100
Unknown,Challenger,1599,155,68
Unknown,Challenger,1567,185,101
Unknown,Challenger,1557,272,169
Unknown,Challenger,1553,218,128
Unknown,Challenger,1515,246,156
Unknown,Challenger,1511,250,164
Unknown,Challenger,1504,264,198
Unknown,Challenger,1503,321,233
Unknown,Challenger,1497,274,222
Unknown,Challenger,1478,259,161
Unknown,Challenger,1470,301,211
Unknown,Challenger,1468,198,83
Unknown,Challenger,1460,199,129
Unknown,Challenger,1442,228,134
Unknown,Challenger,1440,324,225
Unknown,Challenger,1424,219,139
Unknown,Challenger,1421,162,79
Unknown,Challenger,1419,176,109
Unknown,Challenger,1418,363,281
Unknown,Challenger,1418,242,164
Unknown,Challenger,1414,173,99
Unknown,Challenger,1410,191,112
Unknown,Challenger,1409,396,328
Unknown,Challenger,1408,151,76
Unknown,Challenger,1391,243,177
Unknown,Challenger,1363,167,93
Unknown,Challenger,1359,338,256
Unknown,Challenger,1344,212,139
Unknown,Challenger,1332,230,156
Unknown,Challenger,1329,146,74
Unknown,Challenger,1324,291,193
Unknown,Challenger,1310,322,254
Unknown,Challenger,1299,345,218
Unknown,Challenger,1289,258,178
Unknown,Challenger,1286,172,110
Unknown,Challenger,1256,220,129
Unknown,Challenger,1254,217,160
Unknown,Challenger,1229,279,194
Unknown,Challenger,1222,253,191
Unknown,Challenger,1222,226,151
Unknown,Challenger,1214,259,170
Unknown,Challenger,1210,296,248
Unknown,Challenger,1210,272,212
Unknown,Challenger,1210,170,113
Unknown,Challenger,1206,244,176
Unknown,Challenger,1202,301,274
Unknown,Challenger,1195,252,167
Unknown,Challenger,1173,250,201
Unknown,Challenger,1162,355,266
Unknown,Challenger,1159,174,134
Unknown,Challenger,1158,207,159
Unknown,Challenger,1155,200,129
Unknown,Challenger,1147,224,163
Unknown,Challenger,1142,184,143
Unknown,Challenger,1141,193,128
Unknown,Challenger,1139,182,138
Unknown,Challenger,1137,163,107
Unknown,Challenger,1135,167,120
Unknown,Challenger,1134,186,118
Unknown,Challenger,1126,461,409
Unknown,Challenger,1118,147,96
Unknown,Challenger,1114,319,209
Unknown,Challenger,1114,269,187
Unknown,Challenger,1104,403,345
Unknown,Challenger,1104,388,300
Unknown,Challenger,1103,262,199
Unknown,Challenger,1096,293,217
Unknown,Challenger,1095,202,150
Unknown,Challenger,1094,195,138
Unknown,Challenger,1092,249,186
Unknown,Challenger,1080,320,280
Unknown,Challenger,1065,264,215
Unknown,Challenger,1063,245,170
Unknown,Challenger,1062,207,154
Unknown,Challenger,1061,272,238
Unknown,Challenger,1053,221,141
Unknown,Challenger,1045,206,138
Unknown,Challenger,1044,347,281
Unknown,Challenger,1039,187,146
Unknown,Challenger,1037,205,149
Unknown,Challenger,1023,241,180
Unknown,Challenger,1022,203,154
Unknown,Challenger,1021,227,198
Unknown,Challenger,1019,227,170
Unknown,Challenger,1017,384,301
Unknown,Challenger,1015,303,197
Unknown,Challenger,1010,176,116
Unknown,Challenger,1008,305,257
Unknown,Challenger,1007,233,188
Unknown,Challenger,1004,181,136
Unknown,Challenger,1002,160,98
