steam_id,TotalCaptures,TotalCapturesAll,TotalCapturesCoop,TotalHeroCaptures,TotalHeroCapturesAll,TotalHeroCapturesCoop,TotalKills,TotalKillsAll,TotalKillsCoop,TotalMVPs,TotalMVPsAll,TotalMVPsCoop
76561197960481035,18.0,89.0,71.0,5.0,6.0,1.0,140.0,1009.0,869.0,24.0,29.0,5.0
76561197961154230,1000.0,11.0,1000.0,25.0,,,100000.0,376.0,100000.0,50.0,6.0,4.0
76561197961364694,4.0,4.0,,,,,27.0,27.0,,,,
76561197966679165,,,,,,,2.0,,,,,
76561197969126313,,,,,,,4.0,,,,,
76561197971544298,,1.0,1.0,,,,43.0,66.0,23.0,,,
76561197976083904,148.0,505.0,357.0,6.0,6.0,,836.0,3282.0,2446.0,97.0,97.0,
76561197978069815,,1.0,1.0,,1.0,1.0,,46.0,46.0,,5.0,5.0
76561197979504724,,1.0,1.0,,,,,9.0,9.0,,,
76561197980731007,8.0,8.0,,,,,286.0,295.0,9.0,5.0,5.0,
76561197982020929,,,,,,,,23.0,23.0,,2.0,2.0
76561197988458619,42.0,48.0,6.0,2.0,3.0,1.0,101.0,272.0,171.0,17.0,22.0,5.0
76561197988973014,1.0,1.0,,,,,11.0,11.0,,,,
76561197990373069,,,,,,,13.0,13.0,,,,
76561197992734284,3.0,3.0,,,,,11.0,393.0,382.0,6.0,10.0,4.0
76561197993288731,3.0,,,,,,11.0,,,,,
76561197997948009,,11.0,11.0,,2.0,2.0,14.0,73.0,59.0,,4.0,4.0
76561198001180742,5.0,5.0,,,,,27.0,27.0,,4.0,4.0,
76561198001229686,,2.0,2.0,,,,18.0,75.0,57.0,,3.0,3.0
76561198005129199,2.0,103.0,101.0,7.0,7.0,,66.0,747.0,681.0,13.0,13.0,
76561198006700021,,6.0,6.0,,1.0,1.0,,26.0,26.0,,3.0,3.0
76561198007228774,9.0,9.0,,,,,94.0,95.0,1.0,6.0,6.0,
76561198007672682,19.0,104.0,85.0,12.0,14.0,2.0,141.0,947.0,806.0,22.0,26.0,4.0
76561198008571551,,3.0,3.0,,,,,30.0,30.0,,3.0,3.0
76561198009279284,16.0,16.0,,,,,202.0,202.0,,3.0,3.0,
76561198010170987,65.0,152.0,87.0,1.0,1.0,,1025.0,1879.0,854.0,55.0,55.0,
76561198011039230,10.0,,,,,,78.0,,,4.0,,
76561198014152447,3.0,3.0,,,,,120.0,120.0,,2.0,2.0,
76561198014664169,3.0,5.0,2.0,,,,34.0,42.0,8.0,3.0,3.0,
76561198015211720,27.0,29.0,2.0,,,,454.0,532.0,78.0,11.0,14.0,3.0
76561198015998141,62.0,67.0,5.0,4.0,6.0,2.0,1671.0,1889.0,218.0,64.0,91.0,27.0
76561198017128079,3.0,7.0,4.0,,,,17.0,103.0,86.0,,,
76561198018300193,,,,,,,3.0,3.0,,,,
76561198019450670,810.0,1804.0,994.0,56.0,102.0,46.0,14982.0,30021.0,15039.0,2139.0,2261.0,122.0
76561198020331376,,34.0,34.0,,2.0,2.0,,529.0,529.0,,5.0,5.0
76561198020634826,64.0,249.0,185.0,4.0,6.0,2.0,382.0,2129.0,1747.0,53.0,90.0,37.0
76561198021030896,3.0,28.0,25.0,,,,35.0,611.0,576.0,1.0,10.0,9.0
76561198021338419,98.0,98.0,,,,,2882.0,2882.0,,46.0,46.0,
76561198021383793,31.0,59.0,28.0,3.0,14.0,11.0,398.0,862.0,464.0,21.0,45.0,24.0
76561198021408603,31.0,653.0,622.0,5.0,21.0,16.0,208.0,6956.0,6748.0,36.0,98.0,62.0
76561198022361585,3.0,101.0,98.0,,8.0,8.0,4.0,2212.0,2208.0,,76.0,76.0
76561198022416198,,6.0,6.0,,,,,155.0,155.0,,3.0,3.0
76561198022747889,8.0,9.0,1.0,,,,64.0,76.0,12.0,3.0,3.0,
76561198025238576,4.0,10.0,6.0,1.0,1.0,,22.0,75.0,53.0,2.0,6.0,4.0
76561198026274466,33.0,38.0,5.0,4.0,4.0,,90.0,253.0,163.0,18.0,18.0,
76561198026492097,216.0,1409.0,1193.0,8.0,52.0,44.0,1408.0,13048.0,11640.0,156.0,484.0,328.0
76561198026601798,21.0,54.0,33.0,,1.0,1.0,125.0,307.0,182.0,8.0,11.0,3.0
76561198026716698,10.0,26.0,16.0,,7.0,7.0,15.0,128.0,113.0,5.0,9.0,4.0
76561198027002494,1800.0,1812.0,12.0,6.0,6.0,,21259.0,21506.0,247.0,659.0,664.0,5.0
76561198027035640,,8.0,8.0,,,,,51.0,51.0,,3.0,3.0
76561198027729292,53.0,84.0,31.0,1.0,1.0,,803.0,1124.0,321.0,9.0,9.0,
76561198028109698,9.0,9.0,,,,,83.0,83.0,,11.0,11.0,
76561198028600619,1.0,1.0,,,,,3.0,8.0,5.0,,,
76561198028683000,5.0,13.0,8.0,,,,37.0,85.0,48.0,,1.0,1.0
76561198029015422,11.0,11.0,,,,,305.0,305.0,,12.0,12.0,
76561198029723997,,34.0,34.0,,4.0,4.0,,715.0,715.0,,20.0,20.0
76561198029966671,36.0,252.0,216.0,1.0,19.0,18.0,293.0,4689.0,4396.0,26.0,102.0,76.0
76561198030218808,,18.0,18.0,,1.0,1.0,,173.0,173.0,,3.0,3.0
76561198030586489,2.0,13.0,11.0,,1.0,1.0,100.0,309.0,209.0,2.0,5.0,3.0
76561198032515419,,20.0,20.0,,3.0,3.0,,450.0,450.0,,24.0,24.0
76561198032890572,144.0,190.0,46.0,1.0,5.0,4.0,1362.0,1908.0,546.0,33.0,56.0,23.0
76561198033152133,42.0,50.0,8.0,,1.0,1.0,178.0,267.0,89.0,41.0,45.0,4.0
76561198033392163,50.0,50.0,,6.0,6.0,,605.0,605.0,,33.0,33.0,
76561198033971230,1.0,1.0,,,,,22.0,22.0,,,,
76561198034931808,42.0,283.0,241.0,1.0,3.0,2.0,325.0,6579.0,6254.0,10.0,119.0,109.0
76561198035203830,8.0,8.0,,,,,174.0,174.0,,2.0,2.0,
76561198035322838,,8.0,8.0,,1.0,1.0,32.0,208.0,176.0,,2.0,2.0
76561198035585196,21.0,33.0,12.0,,4.0,4.0,514.0,713.0,199.0,24.0,27.0,3.0
76561198035831318,,3.0,3.0,,,,,86.0,86.0,,1.0,1.0
76561198037792004,,6.0,6.0,,1.0,1.0,8.0,78.0,70.0,,6.0,6.0
76561198039037340,24.0,92.0,68.0,10.0,21.0,11.0,100019.0,200398.0,100379.0,16.0,50.0,34.0
76561198040436563,1.0,32.0,31.0,,5.0,5.0,26.0,687.0,661.0,,7.0,7.0
76561198040468591,13.0,,6.0,2.0,,,116.0,,25.0,4.0,,
76561198040762631,72.0,72.0,,1.0,1.0,,872.0,874.0,2.0,30.0,30.0,
76561198041278812,2.0,13.0,11.0,2.0,2.0,,9.0,90.0,81.0,2.0,2.0,
76561198041860550,6.0,6.0,,,,,47.0,47.0,,,,
76561198041885150,1049.0,5101.0,4052.0,28.0,3929.0,3901.0,122908.0,226291.0,103383.0,1020.0,4988.0,3968.0
76561198042684190,10.0,10.0,,,,,205.0,215.0,10.0,7.0,7.0,
76561198042757355,1.0,28.0,27.0,,1.0,1.0,128.0,545.0,417.0,1.0,9.0,8.0
76561198043602431,2.0,6.0,4.0,,,,11.0,48.0,37.0,,,
76561198043931011,10.0,10.0,,,,,71.0,104.0,33.0,2.0,2.0,
76561198044126644,,43.0,43.0,,4.0,4.0,,499.0,499.0,,9.0,9.0
76561198045027669,171.0,174.0,3.0,1.0,1.0,,2555.0,2608.0,53.0,78.0,78.0,
76561198045487058,,106.0,106.0,,7.0,7.0,9.0,2041.0,2032.0,,83.0,83.0
76561198045591957,3.0,6.0,3.0,,2.0,2.0,40.0,73.0,33.0,,7.0,7.0
76561198046236513,,,,,,,3.0,28.0,25.0,,3.0,3.0
76561198047709701,34.0,51.0,17.0,,5.0,5.0,480.0,861.0,381.0,10.0,17.0,7.0
76561198048087899,51.0,312.0,261.0,2.0,22.0,20.0,459.0,4278.0,3819.0,30.0,158.0,128.0
76561198049292481,1000.0,21.0,1000.0,25.0,5.0,5.0,100000.0,230.0,100000.0,50.0,27.0,26.0
76561198049449033,36.0,257.0,221.0,,22.0,22.0,276.0,3715.0,3439.0,14.0,142.0,128.0
76561198050025404,1.0,2.0,1.0,,,,7.0,9.0,2.0,,1.0,1.0
76561198050323268,7.0,7.0,,,,,231.0,237.0,6.0,1.0,1.0,
76561198050341568,1.0,16.0,15.0,,,,17.0,254.0,237.0,,11.0,11.0
76561198050628629,50.0,,50.0,5.0,,,250.0,,250.0,10.0,,
76561198050639054,4.0,4.0,,,,,99.0,124.0,25.0,,1.0,1.0
76561198051102119,,1.0,1.0,,,,,23.0,23.0,,4.0,4.0
76561198051439883,314.0,407.0,93.0,,5.0,5.0,1893.0,3315.0,1422.0,96.0,144.0,48.0
76561198052540427,,3.0,3.0,,,,6.0,29.0,23.0,,,
76561198052550722,4.0,46.0,42.0,,1.0,1.0,31.0,802.0,771.0,2.0,36.0,34.0
76561198052773011,761.0,783.0,22.0,2.0,6.0,4.0,11658.0,11967.0,309.0,241.0,246.0,5.0
76561198053015497,3.0,6.0,3.0,,,,22.0,29.0,7.0,2.0,3.0,1.0
76561198053455290,8.0,18.0,10.0,1.0,1.0,,127.0,223.0,96.0,1.0,3.0,2.0
76561198054173924,2.0,2.0,,,,,56.0,56.0,,,,
76561198054691850,13.0,33.0,20.0,,2.0,2.0,431.0,947.0,516.0,10.0,31.0,21.0
76561198054780300,113.0,113.0,,4.0,4.0,,1549.0,1549.0,,45.0,45.0,
76561198054892042,1000.0,128.0,1000.0,25.0,1.0,,100000.0,2810.0,100000.0,50.0,49.0,2.0
76561198054980932,4.0,4.0,,,,,60.0,60.0,,,,
76561198055948791,5.0,281.0,276.0,,16.0,16.0,31.0,3790.0,3759.0,2.0,69.0,67.0
76561198056191905,1000.0,2005.0,1005.0,25.0,25.0,,100000.0,200095.0,100095.0,50.0,63.0,13.0
76561198056209818,2.0,13.0,11.0,2.0,2.0,,12.0,111.0,99.0,3.0,5.0,2.0
76561198056889092,5.0,,32.0,4.0,,,47.0,,364.0,5.0,,
76561198056938189,1000.0,,1000.0,25.0,,,100000.0,11.0,100000.0,50.0,,
76561198057186747,6.0,6.0,,,,,106.0,113.0,7.0,,1.0,1.0
76561198057289657,1010.0,2046.0,1036.0,26.0,26.0,,100059.0,200466.0,100407.0,66.0,66.0,
76561198057320056,,,,,,,7.0,7.0,,,,
76561198058123648,14.0,83.0,69.0,,1.0,1.0,67.0,712.0,645.0,17.0,22.0,5.0
76561198058375778,4.0,,16.0,1.0,,,75.0,,166.0,6.0,,
76561198058548279,,,,,,,9.0,9.0,,2.0,2.0,
76561198058678677,22.0,24.0,2.0,,,,318.0,330.0,12.0,16.0,16.0,
76561198059374085,30.0,41.0,11.0,,,,311.0,384.0,73.0,31.0,34.0,3.0
76561198059423547,4.0,6.0,2.0,,,,63.0,79.0,16.0,2.0,2.0,
76561198059699103,,,,,,,5.0,5.0,,,,
76561198059837180,5.0,12.0,7.0,,,,385.0,465.0,80.0,2.0,7.0,5.0
76561198060228131,1000.0,,1000.0,25.0,,,100000.0,,100000.0,50.0,,
76561198060297294,1.0,194.0,193.0,19.0,19.0,,39.0,2779.0,2740.0,70.0,70.0,
76561198060617202,71.0,76.0,5.0,3.0,3.0,,515.0,560.0,45.0,18.0,18.0,
76561198060842438,1000.0,8.0,1000.0,25.0,,,100000.0,211.0,100000.0,50.0,5.0,5.0
76561198062068472,6.0,8.0,2.0,,,,347.0,368.0,21.0,19.0,19.0,
76561198062375846,2.0,157.0,155.0,,,,20.0,10510.0,10490.0,1.0,24.0,23.0
76561198062569167,32.0,380.0,348.0,18.0,20.0,2.0,180.0,4006.0,3826.0,95.0,105.0,10.0
76561198062792267,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0
76561198063631664,16.0,16.0,,,,,302.0,302.0,,9.0,9.0,
76561198063790872,7.0,104.0,97.0,,4.0,4.0,57.0,2984.0,2927.0,1.0,61.0,60.0
76561198064220737,4.0,6.0,2.0,,,,58.0,147.0,89.0,13.0,13.0,
76561198064490803,5.0,6.0,1.0,,,,47.0,49.0,2.0,,,
76561198064548735,,,2.0,,,,3.0,,21.0,1.0,,
76561198064561613,47.0,53.0,6.0,,,,426.0,497.0,71.0,18.0,18.0,
76561198064626825,5.0,6.0,1.0,,,,25.0,52.0,27.0,2.0,2.0,
76561198064946551,70.0,,2.0,2.0,,,357.0,,8.0,13.0,,
76561198065099534,3.0,17.0,14.0,,,,65.0,155.0,90.0,1.0,1.0,
76561198065898682,,14.0,14.0,,,,17.0,219.0,202.0,,3.0,3.0
76561198065975829,132.0,264.0,132.0,6.0,21.0,15.0,899.0,3758.0,2859.0,94.0,159.0,65.0
76561198066360628,10.0,21.0,11.0,,1.0,1.0,135.0,250.0,115.0,2.0,2.0,
76561198066599392,,1.0,1.0,,,,,30.0,30.0,,,
76561198067048521,2.0,8.0,6.0,,,,5.0,67.0,62.0,,2.0,2.0
76561198067441834,,,,,,,2.0,,,,,
76561198067986127,,1.0,1.0,,,,,45.0,45.0,,4.0,4.0
76561198068592076,286.0,289.0,3.0,1.0,1.0,,1355.0,1507.0,152.0,75.0,80.0,5.0
76561198068732095,,3.0,3.0,,,,3.0,81.0,78.0,,5.0,5.0
76561198068790585,20.0,,,1.0,,,32.0,,,2.0,,
76561198069360517,5.0,8.0,3.0,,1.0,1.0,78.0,148.0,70.0,7.0,8.0,1.0
76561198069850894,65.0,124.0,59.0,3.0,20.0,17.0,544.0,1965.0,1421.0,57.0,161.0,104.0
