stat,original_count,cleaned_count,removed_count,percent_excluded,0%,25%,50%,75%,100%,80%,90%,95%,99%
total_kills,9273,9162,111,1.1970236169524426,0.0,1893.0,12060.0,34124.0,1000001355.0,41501.200000000004,66406.6000000001,93367.59999999999,174238.2800000005
total_deaths,9256,9145,111,1.1992221261884184,0.0,1897.25,11838.5,33210.25,100017938.0,40210.0,63073.5,88145.0,169222.1500000002
total_time_played,9271,9166,105,1.1325639089634343,0.0,123870.5,823623.0,2361787.0,2036165379.0,2876821.0,4582956.0,6462591.5,11617910.59999998
total_wins,9265,9201,64,0.6907717215326498,0.0,744.0,5563.0,15682.0,1000000866.0,18955.2,29924.200000000004,40555.39999999997,68487.4400000001
total_kills_headshot,9250,9085,165,1.783783783783784,0.0,643.5,4195.5,12960.25,1000000711.0,16058.200000000004,26967.300000000017,39418.04999999999,75499.16
total_shots_hit,9023,8942,81,0.8977058627950791,0.0,5808.5,38996.0,106786.5,1000003469.0,128718.40000000001,202698.4,279834.0999999998,488632.7600000063
total_shots_fired,9265,9186,79,0.8526713437668646,0.0,37149.0,228497.0,609250.0,1000008962.0,733714.6,1135054.4000000001,1579499.1999999995,2738981.5600000075
total_rounds_played,9258,9193,65,0.7020954849859581,0.0,1403.5,10710.0,30896.25,1000001876.0,37146.0,59082.9,79978.45,132604.59000000008
total_matches_won,9086,8988,98,1.078582434514638,0.0,54.0,287.0,746.0,100000465.0,902.0,1393.5,1903.5,3647.3499999999967
total_matches_played,9198,9134,64,0.6958034355294629,0.0,130.0,682.0,1735.75,100000934.0,2071.2000000000007,3185.300000000001,4338.0,7484.3900000000085
total_gg_matches_won,5562,4827,735,13.214670981661273,0.0,2.0,7.0,26.0,15015.0,39.0,1000.0,1003.0,1095.3900000000003
total_gg_matches_played,8627,7830,797,9.238437463776515,0.0,21.0,93.0,311.0,15323.0,425.8000000000002,1181.800000000001,5034.0,5482.439999999999
KD_ratio,9236,8925,311,3.3672585534863577,0.0,0.8349673695488615,0.9875454261790017,1.1545017568980622,30021.956678375213,1.2060185185185186,1.4487085142394585,1.8940327821564618,5.350734119773405
