steam_id,STAT_ACTION_APPLY_MEDS_ON_SURVIVOR,STAT_ACTION_COOK_STEAK,STAT_ACTION_DRINK,STAT_ACTION_EAT,STAT_ACTION_EQUIP_GEAR,STAT_ACTION_GUT_DEER,STAT_ACTION_HANDCUFF_SURVIVOR,STAT_ACTION_IGNITE_FIRE_HAND_DRILL,STAT_ACTION_IGNITE_FIRE_MATCHBOX,STAT_ACTION_IGNITE_FIRE_ROAD_FLARE,STAT_ACTION_SHAVE,STAT_HEADSHOT_COUNT,STAT_INFECTED_HEADSHOT_COUNT,STAT_INFECTED_KILL_COUNT,STAT_INFECTED_SOLDIER_KILL_COUNT,STAT_SURVIVOR_HEADSHOT_COUNT,STAT_SURVIVOR_KILL_MAX_DIST,STAT_SURVIVOR_MELEE_KILL_COUNT
76561197961748565,,,,1.0,,,,,,,,,,6.0,,,,
76561197963157956,,7.0,23.0,68.0,646.0,,,,2.0,,,39.0,38.0,195.0,24.0,1.0,6.051647663116455,2.0
76561197967653453,5.0,3.0,205.0,382.0,11083.0,1.0,,,,,1.0,99.0,92.0,1040.0,171.0,7.0,123.38395690917969,4.0
76561197983430639,,4.0,9.0,31.0,286.0,,,1.0,,,,3.0,3.0,56.0,1.0,,3.7141900062561035,
76561197994632672,,,1.0,4.0,,,,,,,,,,14.0,,,,
76561198001180742,3.0,3.0,56.0,101.0,579.0,,,,,,,12.0,11.0,200.0,85.0,1.0,10.67342472076416,2.0
76561198009279284,,,,8.0,66.0,,,,,,,,,15.0,,,,
76561198015211720,,,,3.0,39.0,,,,,,,,,18.0,,,,
76561198019450670,,,3.0,23.0,147.0,,,,,,,2.0,2.0,13.0,,,,
76561198021030896,,,14.0,71.0,166.0,,,2.0,,,,1.0,1.0,176.0,16.0,,,1.0
76561198024003410,,,31.0,42.0,631.0,,,,,,,81.0,81.0,154.0,25.0,,15.426814079284668,
76561198027729292,,8.0,27.0,61.0,1159.0,,,,,,,32.0,32.0,152.0,48.0,,,
76561198027836137,3.0,,45.0,184.0,1722.0,,1.0,,,,,194.0,194.0,639.0,200.0,,132.55426025390625,1.0
76561198029015422,,,,,,,,,,,,,,2.0,,,,
76561198040157499,1.0,1.0,22.0,41.0,247.0,,,1.0,,,,3.0,3.0,131.0,37.0,,12.973488807678223,
76561198040436563,,,,,,,,,,,,,,2.0,,,,
76561198041560069,,,3.0,4.0,52.0,,,,,,,,,14.0,,,,
76561198042684190,1.0,36.0,317.0,702.0,3397.0,2.0,,2.0,2.0,,1.0,209.0,205.0,1941.0,456.0,4.0,194.0234832763672,9.0
76561198045128913,2.0,,21.0,52.0,1360.0,1.0,,,,,,25.0,24.0,121.0,27.0,1.0,6.6335978507995605,1.0
76561198047117118,1.0,,33.0,74.0,507.0,,,,,,,1.0,1.0,155.0,5.0,,,2.0
76561198047354000,,,,6.0,1.0,,,,,,,,,5.0,,,,
76561198048087899,,,2.0,8.0,207.0,,,1.0,,,,4.0,4.0,28.0,,,,
76561198053309995,,1.0,18.0,39.0,413.0,,,,,,,3.0,3.0,64.0,,,,2.0
76561198054780300,2.0,17.0,48.0,177.0,2590.0,,,2.0,2.0,,,23.0,22.0,174.0,87.0,1.0,3.973224401473999,
76561198058472665,,,,1.0,,,,,,,,,,4.0,,,,
76561198058840971,,,4.0,9.0,18.0,,,,,,,10.0,10.0,38.0,,,1.4927843809127808,
