steam_id,BIOFUEL_STAT,COWS_STAT,CRAFTING_OPENED,CROPS_HARVESTED_STAT,CROPS_WATERED_STAT,CUPBOARD_OPENED,GIANT_CUCUMBER_STAT,GIANT_GOLDEN_PUMPKIN_STAT,GIANT_PUMPKIN_STAT,GIANT_TOMATO_STAT,INVENTORY_OPENED,ITEM_EXAMINED,InstrumentFullKeyboardMode,InstrumentNotesPlayed,InstrumentNotesPlayedBinds,MAP_OPENED,ORE_HIT,PIGS_STAT,POOP_COLLECTED_STAT,SPARE_PARTS_STAT,TREE_HIT,_SPENT_ON_DECOR_STAT,acquired_lowgradefuel,acquired_metal.ore,acquired_scrap,arrow_fired,arrow_hit_bear,arrow_hit_boar,arrow_hit_building,arrow_hit_chicken,arrow_hit_entity,arrow_hit_horse,arrow_hit_player,arrow_hit_stag,arrow_hit_wolf,arrows_shot,bags_unclaimed,blueprint_studied,bullet_fired,bullet_hit_bear,bullet_hit_boar,bullet_hit_building,bullet_hit_corpse,bullet_hit_entity,bullet_hit_horse,bullet_hit_player,bullet_hit_playercorpse,bullet_hit_sign,bullet_hit_stag,bullet_hit_wolf,calories_consumed,cargoship_bridge_visits,cars_shredded,caught_anchovy,caught_catfish,caught_herring,caught_orange_roughy,caught_salmon,caught_sardine,caught_small_shark,caught_small_trout,caught_yellow_perch,cold_exposure_duration,comfort_duration,death_bear,death_entity,death_fall,death_selfinflicted,death_suicide,death_wolf,deaths,destroyed_barrels,dweller_kills_while_moving,excavator_activated,gesture_wave_count,grenades_thrown,harvest.bone_fragments,harvest.cloth,harvest.fat_animal,harvest.humanmeat_raw,harvest.metal_ore,harvest.skull_human,harvest.skull_wolf,harvest.stones,harvest.sulfur_ore,harvest.wolfmeat_raw,harvest.wood,harvested_cloth,harvested_leather,harvested_stones,harvested_wood,headshot,helipad_landings,horse_distance_ridden,horse_distance_ridden_km,hoses_connected,hot_exposure_duration,item_drop,kayak_distance_travelled,kill_bear,kill_boar,kill_chicken,kill_horse,kill_player,kill_scientist,kill_stag,kill_wolf,melee_strikes,melee_thrown,missions_completed,mlrs_kills,pickup_category_food,pipes_connected,placed_blocks,radiation_exposure_duration,recycled_cans,rocket_fired,seconds_speaking,shark_speargun_kills,shotgun_fired,shotgun_hit_building,shotgun_hit_entity,shotgun_hit_horse,shotgun_hit_player,tincanalarms_wired,topology_road_duration,upgraded_blocks,water_consumed,waved_at_players,wires_connected,won_hand_texas_holdem,wounded,wounded_assisted,wounded_healed
76561197961154230,,,21016.0,,,42591.0,,,,,497389.0,95.0,36.0,12720.0,113.0,44994.0,57943.0,,,,14440.0,,166088.0,5841235.0,125241.0,15834.0,468.0,333.0,2036.0,41.0,2352.0,150.0,2456.0,245.0,136.0,7624.0,,4028.0,506598.0,3636.0,1998.0,83687.0,1681.0,128083.0,478.0,64988.0,5932.0,512.0,1044.0,971.0,1240058.5,6.0,,,,,,,,,,,970582.625,810794.8125,65.0,836.0,75.0,155.0,1724.0,29.0,7726.0,9436.0,,,428.0,1548.0,,22967.0,,,,,,213854.0,,,910134.0,7230.0,4104.0,595690.0,418585.0,13572.0,12.0,180077.0,107.0,,48466.47265625,63938.0,,442.0,672.0,142.0,170.0,10483.0,962.0,473.0,239.0,84855.0,1092.0,,,401.0,287.0,237074.0,5786.65478515625,22.0,576.0,34370.60546875,,42271.0,8483.0,15289.0,32.0,4691.0,7.0,89420.0,61600.0,412552.0625,4.0,2266.0,,3836.0,453.0,341.0
76561197961157047,,,5.0,,,10.0,,,,,496.0,5.0,,,,576.0,,,,,,,331.0,1300.0,20.0,43.0,,4.0,1.0,,10.0,,1.0,11.0,,43.0,,1.0,226.0,,,6.0,,101.0,,7.0,,20.0,,,1428.031005859375,,,,,,,,,,,,282.9794921875,610.878662109375,,2.0,,,5.0,,13.0,9.0,,,,,,,,,,,,,,,,,,,,10.0,,5431.0,4.0,,147.10845947265625,133.0,,,1.0,,,5.0,5.0,3.0,,312.0,7.0,,,,,,79.54638671875,,,11.44900894165039,,10.0,,,,,,75.0,,279.9400634765625,,,,4.0,1.0,
76561197961364694,,,89.0,,,14.0,,,,,602.0,,,,,795.0,,,,,,,82.0,1889.0,38.0,25.0,,,,,1.0,,3.0,,,25.0,,8.0,,,,1.0,,3.0,,10.0,1.0,,,1.0,1367.8482666015625,,,,,,,,,,,,1332.73681640625,690.185546875,3.0,1.0,,,16.0,2.0,46.0,32.0,,,,,,136.0,,,,,,3472.0,,,365.0,,,,,28.0,,1518.0,2.0,,,61.0,,,2.0,1.0,,11.0,,,,2426.0,23.0,,,,,23.0,80.076904296875,,,20.49486541748047,,,,,,,,800.0,,408.31353759765625,,,,23.0,,
76561197962685506,,,396.0,,,274.0,,,,,6183.0,3.0,,,,1178.0,2290.0,,,,4101.0,,613.0,50033.0,1480.0,876.0,37.0,10.0,52.0,,52.0,1.0,163.0,19.0,4.0,799.0,,40.0,619.0,5.0,,62.0,,82.0,,170.0,2.0,,,,14981.349609375,,,,,,,,,,,,4681.41357421875,35031.0859375,,2.0,,,,,69.0,545.0,,,,,,111.0,,,,,,458.0,,,550.0,,,,,71.0,,2522.0,3.0,16.0,1817.73828125,285.0,,6.0,6.0,,1.0,56.0,8.0,6.0,1.0,9554.0,7.0,,,,,68.0,71.92578125,2.0,,41.31244659423828,,140.0,9.0,26.0,,32.0,,2560.0,29.0,4350.4775390625,,69.0,,25.0,3.0,5.0
76561197963157956,,,2223.0,,,3954.0,,,,,50936.0,454.0,5.0,4387.0,2142.0,10592.0,715.0,,,,622.0,,8340.0,361535.0,14408.0,7411.0,94.0,111.0,287.0,1.0,565.0,,1640.0,68.0,67.0,6687.0,1.0,401.0,83155.0,309.0,132.0,6336.0,30.0,7636.0,,16826.0,255.0,1099.0,118.0,136.0,179631.59375,,,,,,,,,,,,107791.4296875,71656.4609375,7.0,85.0,9.0,12.0,263.0,11.0,1286.0,2086.0,,,13.0,189.0,,2411.0,,,,,,4539.0,,,4271.0,1517.0,622.0,64675.0,81171.0,4614.0,2.0,67383.0,61.0,,21181.21875,5584.0,,40.0,60.0,18.0,,1229.0,564.0,44.0,43.0,41732.0,358.0,,,50.0,,4301.0,1932.20361328125,21.0,162.0,4854.712890625,,10331.0,255.0,683.0,,2377.0,,14285.0,2972.0,48648.2578125,,,,817.0,22.0,32.0
76561197963489376,,,12809.0,,,76040.0,,,,,933332.0,120.0,1.0,3605.0,1295.0,135953.0,23219.0,,,,12452.0,,255810.0,1953404.0,229906.0,31107.0,1138.0,1139.0,1957.0,13.0,4411.0,1.0,8356.0,308.0,586.0,23326.0,1.0,6947.0,235627.0,2240.0,960.0,28542.0,260.0,85229.0,,46304.0,2217.0,130.0,152.0,984.0,2465305.0,35.0,,22.0,,13.0,,2.0,15.0,4.0,17.0,,834082.9375,1021099.875,60.0,586.0,69.0,138.0,996.0,45.0,7346.0,22056.0,1.0,,519.0,4373.0,,,,,,,,,,,,56416.0,18491.0,1271589.0,1570780.0,19679.0,35.0,1076268.0,872.0,,231651.671875,100646.0,,373.0,530.0,153.0,,11330.0,3113.0,142.0,354.0,340173.0,2087.0,17.0,,2786.0,,87968.0,11087.0341796875,325.0,1116.0,155469.234375,,32300.0,6943.0,12808.0,,5729.0,2.0,212385.0,98257.0,739272.8125,32.0,237.0,,4643.0,245.0,244.0
76561197963497897,,,624.0,,,1165.0,,,,,17723.0,12.0,1.0,1208.0,,5816.0,,,,,,,2555.0,154644.0,5465.0,994.0,36.0,38.0,26.0,3.0,189.0,3.0,171.0,12.0,8.0,1231.0,,163.0,6131.0,17.0,3.0,58.0,,346.0,1.0,1775.0,12.0,,,41.0,56431.67578125,,,,,,,,,,,,21146.95703125,32713.376953125,7.0,23.0,5.0,,41.0,4.0,299.0,1307.0,,,13.0,13.0,,,,,,,,,,,,520.0,45.0,20243.0,51179.0,496.0,,97476.0,85.0,,4601.265625,1848.0,,6.0,12.0,25.0,,172.0,41.0,7.0,2.0,21929.0,98.0,,,54.0,,1339.0,210.04541015625,2.0,,5204.4931640625,,763.0,4.0,2.0,,232.0,,10430.0,1214.0,20029.74609375,,,,180.0,5.0,10.0
76561197966546451,,,6.0,,,,,,,,974.0,,,,,,,,,,,,,,,269.0,11.0,4.0,16.0,,102.0,2.0,38.0,5.0,8.0,,,1.0,944.0,45.0,35.0,147.0,32.0,87.0,36.0,144.0,52.0,,39.0,26.0,,,,,,,,,,,,,,,5.0,3.0,3.0,,10.0,3.0,75.0,,,,,,,2444.0,,,,,,45534.0,,,132508.0,,,,,123.0,,,,,,1063.0,,6.0,21.0,,4.0,29.0,,25.0,6.0,,,,,,,,,,,,,199.0,,69.0,,7.0,,,,,,,,42.0,,2.0
76561197967991838,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,1.0,9.0,,,,1.0,2.0,,,,4.0,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,3.0,,,,,,,191.0,,,,,,280.0,,,800.0,,,,,4.0,,,,,,1.0,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
76561197971544298,,,1544.0,,,309.0,,,,,15303.0,9.0,1.0,236.0,31.0,8271.0,,,,,,,905.0,5473.0,1701.0,150.0,40.0,10.0,2.0,,12.0,,23.0,2.0,6.0,179.0,,39.0,75.0,,,1.0,,3.0,,9.0,,,,,19569.970703125,,,,,,,,,,,,32993.69140625,16192.373046875,4.0,14.0,,,1.0,4.0,93.0,579.0,,,,,,316.0,,,,,,3721.0,,,2410.0,1269.0,397.0,35657.0,172581.0,63.0,,17290.0,12.0,,48.24884033203125,403.0,,5.0,5.0,10.0,,42.0,6.0,,1.0,15335.0,15.0,,,64.0,,1139.0,427.3623046875,,,233.8759307861328,,44.0,,3.0,,12.0,,3655.0,748.0,7235.4599609375,,,,61.0,3.0,6.0
