steam_id,stat_build_foundationCount,stat_build_paintCount,stat_build_removeCount,stat_player_anglerFishKills,stat_player_bearKills,stat_player_birdKills,stat_player_boarKills,stat_player_botKills,stat_player_capturedAnimals,stat_player_captures_bee,stat_player_deaths,stat_player_excevations_treasure,stat_player_fireworks_launched,stat_player_hookCount,stat_player_instrumentNotes_played,stat_player_pufferKills,stat_player_ratKills,stat_player_sharkKills,stat_player_stoneBirdKills,stat_player_token_spend_tangaroa,stat_player_zipline_distance,stat_player_zipline_distanceOneGo,stat_shark_bitePlayer,stat_test_2,stat_test_3,stat_test_4,stat_test_5
76561197961662617,164.0,,183.0,7.0,13.0,40.0,14.0,,9.0,,2.0,3.0,,164.0,675.0,19.0,35.0,66.0,2.0,1.0,370.0,86.0,68.0,1.0,,,1.0
76561197966679165,67.0,,,,,,,,,,,,,308.0,,,,,,,,,,,,,
76561197967991838,86.0,,2.0,,,1.0,3.0,,,,3.0,,,568.0,,,,13.0,1.0,,,,,,,,
76561197978108578,223.0,,115.0,3.0,18.0,4.0,6.0,8.0,6.0,5.0,11.0,23.0,,534.0,,5.0,40.0,17.0,1.0,25.0,677.0,76.0,,,1.0,1.0,1.0
76561197983861696,128.0,,35.0,,15.0,16.0,2.0,7.0,5.0,9.0,,,,527.0,460.0,16.0,28.0,7.0,3.0,13.0,211.0,38.0,,,,,
76561197985820397,1489.0,1000.0,674.0,10.0,94.0,165.0,66.0,43.0,58.0,61.0,33.0,64.0,173.0,5638.0,277.0,84.0,143.0,129.0,56.0,36.0,2088.0,85.0,,1.0,1.0,1.0,1.0
76561197990373069,73.0,,10.0,,,,,,,,1.0,,,229.0,,,,6.0,,,,,,,,,
76561197991039229,6.0,,14.0,,,,3.0,,,,9.0,,,1041.0,,,,6.0,1.0,,,,,,,,
76561197994632659,,,26.0,8.0,13.0,34.0,4.0,8.0,1.0,2.0,3.0,8.0,,250.0,,11.0,29.0,17.0,,18.0,565.0,91.0,,1.0,1.0,1.0,1.0
76561197994869726,193.0,3.0,66.0,8.0,10.0,72.0,4.0,17.0,,5.0,5.0,4.0,,1003.0,,7.0,33.0,34.0,1.0,35.0,679.0,85.0,,1.0,1.0,1.0,1.0
76561197995903397,143.0,,78.0,7.0,,6.0,3.0,5.0,,,5.0,1.0,,295.0,,,15.0,8.0,,12.0,241.0,81.0,,1.0,,1.0,
76561198004990831,1000.0,1000.0,598.0,12.0,53.0,50.0,50.0,24.0,50.0,25.0,26.0,50.0,10.0,5000.0,768.0,50.0,57.0,51.0,50.0,17.0,1631.0,81.0,,1.0,1.0,,1.0
76561198005129199,32.0,1.0,6.0,,6.0,23.0,4.0,20.0,5.0,4.0,2.0,2.0,,365.0,,21.0,33.0,17.0,3.0,17.0,228.0,31.0,,1.0,1.0,,
76561198005723015,23.0,,3.0,,,,,,,,9.0,,,213.0,,,,,,,,,,,,,
76561198009351373,713.0,69.0,671.0,7.0,44.0,211.0,27.0,65.0,18.0,34.0,24.0,38.0,10.0,2290.0,684.0,52.0,77.0,74.0,10.0,47.0,779.0,70.0,,1.0,1.0,1.0,1.0
76561198010170987,24.0,,11.0,,,5.0,,,2.0,5.0,6.0,4.0,,145.0,,4.0,,7.0,,,116.0,26.0,,,,,
76561198012169462,33.0,,,,,,,,,,,,,160.0,,,,1.0,,,,,,,,,
76561198012539155,34.0,,4.0,,,,,,,,4.0,,,188.0,,,,,,,,,,,,,
76561198014152447,122.0,,12.0,,,,,,,,16.0,,,360.0,,,,2.0,,,,,20.0,,,,
76561198014390128,233.0,,15.0,,,12.0,10.0,,,,16.0,,,879.0,,,,9.0,,,,,,1.0,1.0,1.0,1.0
76561198014664169,202.0,,4.0,,9.0,37.0,1.0,7.0,,,5.0,,,565.0,1110.0,1.0,18.0,19.0,2.0,25.0,211.0,38.0,21.0,,,,
76561198015211720,26.0,,,,,,,,,,,,,197.0,,,,,,,,,,,,,
76561198016151237,169.0,,49.0,,,21.0,5.0,,2.0,,4.0,,,942.0,,6.0,,18.0,1.0,,,,,,,,
76561198016321769,33.0,,5.0,,,,,,,,5.0,,,282.0,,,,2.0,,,,,,,,,
76561198018300193,72.0,,37.0,,,19.0,2.0,,,,5.0,,,675.0,,,,10.0,1.0,,,,,,,,
