friend_id,Abfragestatus,Daten vorhanden
76561198090069637,Keine Spiele,
76561198091926947,Keine Spiele,
76561198109721233,Keine Spiele,
76561198123588269,Keine Spiele,
76561198125241727,Keine Spiele,
76561198135060140,Keine Spiele,
76561198137847741,Keine Spiele,
76561198142444398,Keine Spiele,
76561198144290252,Keine Spiele,
76561198146198100,Keine Spiele,
76561198149992999,Keine Spiele,
76561198151926857,Keine Spiele,
76561198155100099,Keine Spiele,
76561198155169643,Keine Spiele,
76561198155393707,Keine Spiele,
76561198156887074,Keine Spiele,
76561198157204943,Ja,
76561198161377568,Keine Spiele,
76561198166554561,Keine Spiele,
76561198186175237,Keine Spiele,
76561198208687500,Keine Spiele,
76561198249436290,Ja,
76561198271068439,Keine Spiele,
76561198281232113,Keine Spiele,
76561198284649749,Keine Spiele,
76561198323814926,Keine Spiele,
76561198332794757,Keine Spiele,
76561198340398027,Keine Spiele,
76561198344413014,Keine Spiele,
76561198451140213,Ja,
76561198825942263,Keine Spiele,
76561199049472294,Keine Spiele,
friend_id,Fehler,
76561198053152660,Ja,Counter-Strike 2
76561198062375846,Ja,"Counter-Strike 2,Insurgency"
76561198073293198,Keine Spiele,
76561198109562825,Keine Spiele,
76561198138327095,Ja,Counter-Strike 2
76561198139482857,Ja,Counter-Strike 2
76561198146945445,Keine Spiele,
76561198157744235,Keine Spiele,
76561198158841607,Keine Spiele,
76561198160834341,Keine Spiele,
76561198163221125,Keine Spiele,
76561198167598693,Keine Spiele,
76561198194540515,Keine Spiele,
76561198206375517,Ja,
76561198216698779,Keine Spiele,
76561198244969114,Keine Spiele,
76561198247411022,Ja,"Counter-Strike 2,Insurgency"
76561198256206276,Keine Spiele,
76561198257447809,Keine Spiele,
76561198257946480,Keine Spiele,
76561198276687887,Keine Spiele,
76561198300861468,Ja,Counter-Strike 2
76561198306313887,Keine Spiele,
76561198318964155,Keine Spiele,
76561198320987279,Ja,Counter-Strike 2
76561198337519821,Keine Spiele,
76561198345731101,Keine Spiele,
76561198347302188,Keine Spiele,
76561198356945593,Ja,Counter-Strike 2
76561198359057973,Keine Spiele,
76561198365287094,Keine Spiele,
76561198384783590,Keine Spiele,
76561198399262047,Ja,Counter-Strike 2
76561198795703866,Keine Spiele,
76561198811262071,Keine Spiele,
76561198841838063,Ja,
76561198849445385,Ja,Counter-Strike 2
76561199437554063,Keine Spiele,
76561199575560550,Keine Spiele,
76561199591899848,Keine Spiele,
76561198086336249,Keine Spiele,
76561198101588984,Ja,"Rust,Counter-Strike 2"
76561198138692442,Keine Spiele,
76561198213879684,Keine Spiele,
76561198254091661,Keine Spiele,
76561198272482516,Keine Spiele,
76561198286461724,Keine Spiele,
76561198302707808,Ja,Counter-Strike 2
76561198316126836,Keine Spiele,
76561198337587280,Ja,
76561199024404536,Keine Spiele,
76561199042015042,Keine Spiele,
76561199042680723,Keine Spiele,
76561199074318220,Keine Spiele,
76561198024126440,Keine Spiele,
76561198067459887,Keine Spiele,
76561198086294487,Keine Spiele,
76561198103703142,Keine Spiele,
76561198107790338,Ja,Counter-Strike 2
76561198108602097,Keine Spiele,
76561198114364254,Keine Spiele,
76561198114712584,Keine Spiele,
76561198121132819,Keine Spiele,
76561198121936393,Keine Spiele,
76561198123419324,Keine Spiele,
76561198125972944,Keine Spiele,
76561198129592827,Keine Spiele,
76561198131285638,Keine Spiele,
76561198132138785,Keine Spiele,
76561198132598239,Keine Spiele,
76561198133967518,Keine Spiele,
76561198134321920,Keine Spiele,
76561198136996614,Keine Spiele,
76561198141777990,Keine Spiele,
76561198142517675,Keine Spiele,
76561198146812974,Keine Spiele,
76561198147313490,Keine Spiele,
76561198147773820,Keine Spiele,
76561198149370101,Keine Spiele,
76561198150026119,Keine Spiele,
76561198151147402,Keine Spiele,
76561198151532959,Keine Spiele,
76561198154678631,Keine Spiele,
76561198155055350,Keine Spiele,
76561198155397698,Keine Spiele,
76561198155543456,Keine Spiele,
76561198156414015,Keine Spiele,
76561198158341377,Keine Spiele,
76561198159219396,Keine Spiele,
76561198159808200,Keine Spiele,
76561198161631678,Keine Spiele,
76561198172309943,Keine Spiele,
76561198212531001,Keine Spiele,
76561198213758560,Keine Spiele,
76561198230558280,Keine Spiele,
76561198252974674,Keine Spiele,
76561198255060869,Keine Spiele,
76561198256265713,Keine Spiele,
76561198281202338,Keine Spiele,
76561198296101278,Keine Spiele,
76561198826080300,Keine Spiele,
76561198052073114,Keine Spiele,
76561198176039463,Ja,"Counter-Strike 2,Counter-Strike: Source"
76561198289137871,Keine Spiele,
76561198348469200,Ja,
76561198427584115,Ja,"Counter-Strike 2,Rust,Raft"
76561198816473301,Ja,"Counter-Strike 2,Raft"
76561198853271233,Ja,"Counter-Strike 2,Rust"
76561198878624826,Keine Spiele,
76561198893577431,Keine Spiele,
76561199002549202,Ja,"Counter-Strike 2,Rust,Counter-Strike: Source"
76561199015453056,Keine Spiele,
76561199046386705,Ja,"Counter-Strike 2,Counter-Strike: Source"
76561199215424052,Keine Spiele,
76561199216172652,Keine Spiele,
76561199220017882,Ja,"Counter-Strike 2,Raft,Rust"
76561199225515888,Ja,"Counter-Strike 2,Rust"
76561199246392993,Keine Spiele,
76561199250825037,Ja,Counter-Strike 2
76561199255803579,Ja,
76561199278649102,Keine Spiele,
76561199377074034,Keine Spiele,
76561199387407826,Ja,
76561199389816404,Ja,"Rust,Counter-Strike 2,Counter-Strike: Source"
76561199466030428,Keine Spiele,
76561199486595123,Keine Spiele,
76561199510026849,Ja,Counter-Strike 2
76561199525343764,Ja,"Counter-Strike 2,Counter-Strike: Source"
76561199635156445,Ja,Counter-Strike 2
76561199653503691,Keine Spiele,
76561199658900780,Keine Spiele,
76561199696246108,Keine Spiele,
76561199697734079,Keine Spiele,
76561199752838332,Keine Spiele,
76561199771534736,Keine Spiele,
76561199789773679,Keine Spiele,
76561199795566249,Keine Spiele,
76561198056973693,Keine Spiele,
76561198264719835,Ja,Counter-Strike 2
76561198859086519,Keine Spiele,
76561197963609215,Ja,Counter-Strike 2
76561197968711466,Keine Spiele,
76561198059515324,Keine Spiele,
76561198073359425,Ja,Counter-Strike 2
76561198082013660,Keine Spiele,
76561198155624453,Keine Spiele,
76561198168108429,Keine Spiele,
76561198191347829,Keine Spiele,
76561198320016036,Keine Spiele,
76561198332873463,Keine Spiele,
76561198809126687,Keine Spiele,
76561197993179686,Keine Spiele,
76561197993623772,Keine Spiele,
76561197997948009,Ja,"Counter-Strike 2,Rust,Counter-Strike: Source,Insurgency"
