"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Counter-Strike 2","1335830400000","1345521600000","false","223532687","0","8095860454.131426","321.26871917984647","87","AAA","Valve","Valve","730","https://store.steampowered.com/app/730"
"PUBG: BATTLEGROUNDS","1488326400000","1513832400000","false","118010577","0","4509305024.259357","214.47835500526097","59","AAA","KRAFTON, Inc.","PUBG Corporation","578080","https://store.steampowered.com/app/578080"
"Dota 2","1312156800000","1373342400000","false","208474323","0","2027171602.1429229","768.7313261008584","82","AAA","Valve","Valve","570","https://store.steampowered.com/app/570"
"Apex Legends™","1604466000000","","false","64522005","0","1365955732.395594","400.78880041037985","67","AAA","Electronic Arts","Respawn","1172470","https://store.steampowered.com/app/1172470"
"Black Myth: Wukong","1724025600000","","false","22048551","59.99","960731138","57.396417169300186","97","AAA","Game Science","Game Science","2358720","https://store.steampowered.com/app/2358720"
"Destiny 2","1569902400000","","false","23762508","0","819094117.4475751","309.01364443927145","80","AAA","Bungie","Bungie","1085660","https://store.steampowered.com/app/1085660"
"Warframe","1364184000000","","false","29850352","0","728674395.7101303","168.40876554567592","87","AAA","Digital Extremes","Digital Extremes","230410","https://store.steampowered.com/app/230410"
"ELDEN RING","1645678800000","","false","14077233","59.99","572709462","0","93","AAA","FromSoftware, Inc.,Bandai Namco Entertainment","FromSoftware, Inc.","1245620","https://store.steampowered.com/app/1245620"
"Grand Theft Auto V","1428897600000","","false","45604225","0","541922716.7435989","105.09305226620357","87","AAA","Rockstar Games","Rockstar North","271590","https://store.steampowered.com/app/271590"
"Call of Duty®","1666843200000","","false","37875736","0","456019880.0435919","157.12014598496083","59","AAA","Activision","Treyarch,Raven Software,Beenox,High Moon Studios,Activision Shanghai,Sledgehammer Games,Infinity Ward,Demonware,Toys for Bob","1938090","https://store.steampowered.com/app/1938090"
"Palworld","1705554000000","","true","18877670","29.99","442593720","79.72423001547446","94","AA","Pocketpair","Pocketpair","1623730","https://store.steampowered.com/app/1623730"
"HELLDIVERS™ 2","1707368400000","","false","12223030","39.99","437054232","0","75","AAA","PlayStation Publishing LLC","Arrowhead Game Studios","553850","https://store.steampowered.com/app/553850"
"Lost Ark","1623369600000","1644555600000","false","15402414","0","391724523.86033404","389.9978123497944","71","AAA","Amazon Games","Smilegate RPG","1599340","https://store.steampowered.com/app/1599340"
"War Thunder","1376539200000","","false","40708621","0","388123192.37115264","109.95025195705898","73","AA","Gaijin Network Ltd","Gaijin Entertainment","236390","https://store.steampowered.com/app/236390"
"Red Dead Redemption 2","1575522000000","","false","15683653","59.99","365738582","75.9438979512821","92","AAA","Rockstar Games","Rockstar Games","1174180","https://store.steampowered.com/app/1174180"
"Rust","1385856000000","1518066000000","false","19413277","39.99","338762728","302.4282421975935","87","AA","Facepunch Studios","Facepunch Studios","252490","https://store.steampowered.com/app/252490"
"Hogwarts Legacy","1676005200000","","false","7693615","59.99","324753259","43.54097198415191","91","AAA","Warner Bros. Games","Avalanche Software","990080","https://store.steampowered.com/app/990080"
"NARAKA: BLADEPOINT","1628654400000","","false","16343920","0","323547454.3683928","269.4650434258594","75","AA","NetEase Games Global","24 Entertainment","1203220","https://store.steampowered.com/app/1203220"
"Team Fortress 2","1191988800000","","false","96112301","0","276388307.85780877","122.47000742719852","89","AAA","Valve","Valve","440","https://store.steampowered.com/app/440"
"Left 4 Dead 2","1258347600000","","false","39747782","9.99","247332579","0","98","AAA","Valve","Valve","550","https://store.steampowered.com/app/550"
"Sons Of The Forest","1677128400000","1708578000000","false","9617393","29.99","230030956","34.724684367349866","88","AA","Newnight","Endnight Games Ltd","1326470","https://store.steampowered.com/app/1326470"
"ARK: Survival Evolved","1433116800000","1503806400000","false","16884052","14.99","225835246","269.46607612488975","84","AA","Studio Wildcard,Snail Games USA","Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC","346110","https://store.steampowered.com/app/346110"
"No Man's Sky","1470974400000","","false","6256959","59.99","221091183","98.3160080672593","83","AA","Hello Games","Hello Games","275850","https://store.steampowered.com/app/275850"
"Tom Clancy's Rainbow Six® Siege","1448946000000","","false","21233686","19.99","205826925","220.38889802314958","84","AAA","Ubisoft","Ubisoft Montreal","359550","https://store.steampowered.com/app/359550"
"Path of Exile","1382500800000","","false","13940453","0","205222729.57172537","455.99936881193474","90","AA","Grinding Gear Games","Grinding Gear Games","238960","https://store.steampowered.com/app/238960"
"DayZ","1385856000000","1544677200000","false","7802481","49.99","199511305","245.25892465745076","76","AA","Bohemia Interactive","Bohemia Interactive","221100","https://store.steampowered.com/app/221100"
"Sea of Thieves: 2024 Edition","1591156800000","","false","8792121","39.99","198776903","64.44493561119471","89","AAA","Xbox Game Studios","Rare Ltd","1172620","https://store.steampowered.com/app/1172620"
"Monster Hunter: World","1533787200000","","false","8311421","29.99","186684632","141.38375295410452","89","AAA","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","582010","https://store.steampowered.com/app/582010"
"Sekiro™: Shadows Die Twice - GOTY Edition","1553140800000","","false","5615782","59.99","186009023","40.352091460599034","95","AA","Activision (Excluding Japan and Asia),FromSoftware, Inc. (Japan),方块游戏 (Asia)","FromSoftware, Inc.","814380","https://store.steampowered.com/app/814380"
"Forza Horizon 5","1636347600000","","false","5850879","59.99","185425299","58.14820154264891","89","AAA","Xbox Game Studios","Playground Games","1551360","https://store.steampowered.com/app/1551360"
"Dying Light","1420070400000","1461211200000","false","12851036","19.99","173897936","37.62817504110721","95","AA","Techland","Techland","239140","https://store.steampowered.com/app/239140"
"Phasmophobia","1600401600000","","true","14643935","19.99","164190820","53.052059945311704","96","AA","Kinetic Games","Kinetic Games","739630","https://store.steampowered.com/app/739630"
