"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"SMITE®","1441684800000","false","9798659","0","140694445.50871846","358.8319300754879","79","AA","Hi-Rez Studios","Titan Forge Games","386360","https://store.steampowered.com/app/386360",""
"Garry's Mod","1164776400000","false","26989873","9.99","134482066","139.5365322240862","97","AAA","Valve","Facepunch Studios","4000","https://store.steampowered.com/app/4000",""
"Battlefield™ 2042","1637298000000","false","6698519","59.99","128301116","0","46","AAA","Electronic Arts","DICE","1517290","https://store.steampowered.com/app/1517290",""
"Factorio","1454284800000","false","4324385","35","119057142","321.26859746786295","97","AA","Wube Software LTD.","Wube Software LTD.","427520","https://store.steampowered.com/app/427520","1597377600000"
"The Sims™ 4","1592452800000","false","25720188","0","110496729.38659675","29.588639749492557","87","AAA","Electronic Arts","Maxis","1222670","https://store.steampowered.com/app/1222670",""
"Marvel’s Spider-Man Remastered","1660276800000","false","2059679","59.99","80103066","32.24199901765809","96","AAA","PlayStation Publishing LLC","Insomniac Games,Nixxes Software","1817070","https://store.steampowered.com/app/1817070",""
"Human Fall Flat","1469160000000","false","14138451","19.99","73890177","15.634795840335087","95","AA","Curve Games","No Brakes Games","477160","https://store.steampowered.com/app/477160",""
"Planet Zoo","1572930000000","false","2920171","44.99","70072095","94.38770750020099","91","AA","Frontier Developments","Frontier Developments","703080","https://store.steampowered.com/app/703080",""
"MapleStory","1344484800000","false","1439941","0","68521399.22279182","370.2212058421844","64","AA","Nexon America Inc.","NEXON Korea Corporation","216150","https://store.steampowered.com/app/216150",""
"DAVE THE DIVER","1666756800000","false","4222096","19.99","61777683","28.9870667357625","97","AA","MINTROCKET","MINTROCKET","1868140","https://store.steampowered.com/app/1868140","1687924800000"
"VRChat","1485925200000","true","17024107","0","61730211.79936369","64.94763396794305","75","AA","VRChat Inc.","VRChat Inc.","438100","https://store.steampowered.com/app/438100",""
"Overcooked! 2","1533614400000","false","5174331","24.99","51414390","31.273844465165038","91","AA","Team17","Ghost Town Games Ltd.,Team17","728880","https://store.steampowered.com/app/728880",""
"Tabletop Simulator","1396310400000","false","4933291","19.99","50671556","37.40035670217494","96","AA","Berserk Games","Berserk Games","286160","https://store.steampowered.com/app/286160","1433476800000"
"Pummel Party","1537416000000","false","5634453","14.99","49391513","17.325128912921528","89","Indie","Rebuilt Games","Rebuilt Games","880940","https://store.steampowered.com/app/880940",""
"Trove","1436414400000","false","9123871","0","49298039.27509892","46.94692450819304","80","Indie","gamigo US Inc.","gamigo US Inc.","304050","https://store.steampowered.com/app/304050",""
"Planet Coaster","1479358800000","false","3096089","44.99","44990912","62.27978908610382","91","AA","Frontier Developments,Aspyr (Mac)","Frontier Developments,Aspyr (Mac)","493340","https://store.steampowered.com/app/493340",""
