"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Counter-Strike 2","1335830400000","1345521600000","false","223532687","0","8095860454.131426","321.26871917984647","87","AAA","Valve","Valve","730","https://store.steampowered.com/app/730"
"PUBG: BATTLEGROUNDS","1488326400000","1513832400000","false","118010577","0","4509305024.259357","214.47835500526097","59","AAA","KRAFTON, Inc.","PUBG Corporation","578080","https://store.steampowered.com/app/578080"
"Dota 2","1312156800000","1373342400000","false","208474323","0","2027171602.1429229","768.7313261008584","82","AAA","Valve","Valve","570","https://store.steampowered.com/app/570"
"Apex Legends™","1604466000000","","false","64522005","0","1365955732.395594","400.78880041037985","67","AAA","Electronic Arts","Respawn","1172470","https://store.steampowered.com/app/1172470"
"Destiny 2","1569902400000","","false","23762508","0","819094117.4475751","309.01364443927145","80","AAA","Bungie","Bungie","1085660","https://store.steampowered.com/app/1085660"
"Warframe","1364184000000","","false","29850352","0","728674395.7101303","168.40876554567592","87","AAA","Digital Extremes","Digital Extremes","230410","https://store.steampowered.com/app/230410"
"Lost Ark","1623369600000","1644555600000","false","15402414","0","391724523.86033404","389.9978123497944","71","AAA","Amazon Games","Smilegate RPG","1599340","https://store.steampowered.com/app/1599340"
"War Thunder","1376539200000","","false","40708621","0","388123192.37115264","109.95025195705898","73","AA","Gaijin Network Ltd","Gaijin Entertainment","236390","https://store.steampowered.com/app/236390"
"Team Fortress 2","1191988800000","","false","96112301","0","276388307.85780877","122.47000742719852","89","AAA","Valve","Valve","440","https://store.steampowered.com/app/440"
"Path of Exile","1382500800000","","false","13940453","0","205222729.57172537","455.99936881193474","90","AA","Grinding Gear Games","Grinding Gear Games","238960","https://store.steampowered.com/app/238960"
"Yu-Gi-Oh! Master Duel","1642482000000","","false","6317840","0","175061299.72592965","57.16037052300136","75","AA","KONAMI","KONAMI","1449850","https://store.steampowered.com/app/1449850"
"World of Warships","1510722000000","","false","9261445","0","162878485.82717538","51.264981480924774","77","AA","Wargaming Group Limited","Wargaming Group Limited","552990","https://store.steampowered.com/app/552990"
"World of Tanks Blitz","1478667600000","","false","7823190","0","153997657.17214873","84.9958822929006","79","AA","Wargaming Group Limited","Wargaming Group Limited","444200","https://store.steampowered.com/app/444200"
"SMITE®","1441684800000","","false","9798659","0","140694445.50871846","358.8319300754879","79","AA","Hi-Rez Studios","Titan Forge Games","386360","https://store.steampowered.com/app/386360"
"The First Descendant","1719720000000","","false","4093824","0","115544732","80.26665233118018","57","AA","NEXON","NEXON Games Co., Ltd.","2074920","https://store.steampowered.com/app/2074920"
"The Sims™ 4","1592452800000","","false","25720188","0","110496729.38659675","29.588639749492557","87","AAA","Electronic Arts","Maxis","1222670","https://store.steampowered.com/app/1222670"
"THRONE AND LIBERTY","1727740800000","","false","3592147","0","102196584","96.69742956293247","69","AAA","Amazon Games","NCSOFT","2429640","https://store.steampowered.com/app/2429640"
"STAR WARS™: The Old Republic™","1595304000000","","false","3792761","0","94439373.33239247","60.39194487255322","90","AAA","Electronic Arts","Broadsword","1286830","https://store.steampowered.com/app/1286830"
"Brawlhalla","1396310400000","1508212800000","false","28680249","0","94002623.50922006","163.98261135982634","82","AAA","Ubisoft","Blue Mammoth Games","291550","https://store.steampowered.com/app/291550"
"Marvel Rivals","1733356800000","","false","16568993","0","82187893","0","81","AA","NetEase Games","NetEase Games","2767030","https://store.steampowered.com/app/2767030"
"Star Trek Online","1288569600000","1327986000000","false","1592432","0","76813774.62759307","92.14246431123779","79","AA","Arc Games","Cryptic Studios","9900","https://store.steampowered.com/app/9900"
"MapleStory","1344484800000","","false","1439941","0","68521399.22279182","370.2212058421844","64","AA","Nexon America Inc.","NEXON Korea Corporation","216150","https://store.steampowered.com/app/216150"
"Yu-Gi-Oh! Duel Links","1510808400000","","false","4337695","0","65279624.99167909","60.64133452934281","83","AA","KONAMI","KONAMI","601510","https://store.steampowered.com/app/601510"
"Once Human","1720483200000","","false","6591901","0","64391000","95.53726278648134","73","AA","Starry Studio","Starry Studio","2139460","https://store.steampowered.com/app/2139460"
"War Robots","1522814400000","","false","1493762","0","63587991.25838664","25.483900525055745","60","AA","MY.GAMES HOLDINGS LTD","MY.GAMES HOLDINGS LTD","767560","https://store.steampowered.com/app/767560"
"VRChat","1485925200000","","true","17024107","0","61730211.79936369","64.94763396794305","75","AA","VRChat Inc.","VRChat Inc.","438100","https://store.steampowered.com/app/438100"
"DCS World Steam Edition","1375416000000","","false","4013975","0","61632783.455117166","66.04891521719237","85","AA","Eagle Dynamics SA","Eagle Dynamics SA","223750","https://store.steampowered.com/app/223750"
"Eternal Return","1602648000000","1689739200000","false","4376399","0","61464685.66809772","231.71534008297215","80","AA","Nimble Neuron,SapStaR Games","Nimble Neuron","1049590","https://store.steampowered.com/app/1049590"
"Phantasy Star Online 2 New Genesis","1596600000000","","false","1931569","0","57752142.726243615","228.40403070883983","70","AAA","SEGA","SEGA","1056640","https://store.steampowered.com/app/1056640"
"Shadowverse CCG","1477540800000","","false","1752778","0","56603110.40621252","312.78355697567395","74","AA","Cygames, Inc.,Cygames Korea Inc.","Cygames, Inc.","453480","https://store.steampowered.com/app/453480"
"Halo Infinite","1636952400000","","false","9425326","0","51528523.67698552","89.61768158647021","70","AAA","Xbox Game Studios","343 Industries","1240440","https://store.steampowered.com/app/1240440"
"Trove","1436414400000","","false","9123871","0","49298039.27509892","46.94692450819304","80","Indie","gamigo US Inc.","gamigo US Inc.","304050","https://store.steampowered.com/app/304050"
"Paladins®","1472688000000","1525752000000","false","19353642","0","46715064.5000768","119.55137718484373","85","AA","Hi-Rez Studios","Evil Mojo Games","444090","https://store.steampowered.com/app/444090"
