"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"Palworld","1705554000000","true","18877670","29.99","442593720","79.72423001547446","94","AA","Pocketpair","Pocketpair","1623730","https://store.steampowered.com/app/1623730",""
"Rust","1385856000000","false","19413277","39.99","338762728","302.4282421975935","87","AA","Facepunch Studios","Facepunch Studios","252490","https://store.steampowered.com/app/252490","1518066000000"
"Stardew Valley","1456462800000","false","25342665","14.99","235972617","61.779064015078","98","AA","ConcernedApe","ConcernedApe","413150","https://store.steampowered.com/app/413150",""
"Sons Of The Forest","1677128400000","false","9617393","29.99","230030956","34.724684367349866","88","AA","Newnight","Endnight Games Ltd","1326470","https://store.steampowered.com/app/1326470","1708578000000"
"ARK: Survival Evolved","1433116800000","false","16884052","14.99","225835246","269.46607612488975","84","AA","Studio Wildcard,Snail Games USA","Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC","346110","https://store.steampowered.com/app/346110","1503806400000"
"Path of Exile","1382500800000","false","13940453","0","205222729.57172537","455.99936881193474","90","AA","Grinding Gear Games","Grinding Gear Games","238960","https://store.steampowered.com/app/238960",""
"Phasmophobia","1600401600000","true","14643935","19.99","164190820","53.052059945311704","96","AA","Kinetic Games","Kinetic Games","739630","https://store.steampowered.com/app/739630",""
"Squad","1450069200000","false","6180872","49.99","160240983","78.96278488289548","83","AA","Offworld","Offworld","393380","https://store.steampowered.com/app/393380","1600833600000"
"The Forest","1398902400000","false","21290241","19.99","159441560","24.622146625205534","96","AA","Endnight Games Ltd","Endnight Games Ltd","242760","https://store.steampowered.com/app/242760","1525060800000"
"Raft","1527048000000","false","11895618","19.99","151710247","29.09935427079548","93","AA","Axolot Games","Redbeet Interactive","648800","https://store.steampowered.com/app/648800","1655697600000"
"Valheim","1612242000000","true","11247709","19.99","149074875","60.31920770430348","94","AA","Coffee Stain Publishing","Iron Gate AB","892970","https://store.steampowered.com/app/892970",""
"Ready or Not","1639717200000","false","4994019","49.99","147012931","35.03936600949909","89","AA","VOID Interactive","VOID Interactive","1144200","https://store.steampowered.com/app/1144200","1702443600000"
"Project Zomboid","1383886800000","true","11783551","19.99","138961087","115.51538266282216","94","AA","The Indie Stone","The Indie Stone","108600","https://store.steampowered.com/app/108600",""
"Terraria","1305518400000","false","27428079","9.99","135789622","108.71978640595145","98","AA","Re-Logic","Re-Logic","105600","https://store.steampowered.com/app/105600",""
"Mount & Blade II: Bannerlord","1585540800000","false","3820632","49.99","135340749","102.2645616221381","88","AA","TaleWorlds Entertainment","TaleWorlds Entertainment","261550","https://store.steampowered.com/app/261550","1666670400000"
"Garry's Mod","1164776400000","false","26989873","9.99","134482066","139.5365322240862","97","AAA","Valve","Facepunch Studios","4000","https://store.steampowered.com/app/4000",""
"Satisfactory","1591574400000","false","5693125","39.99","128899013","136.25897952397088","97","AA","Coffee Stain Publishing","Coffee Stain Studios","526870","https://store.steampowered.com/app/526870","1725926400000"
"Factorio","1454284800000","false","4324385","35","119057142","321.26859746786295","97","AA","Wube Software LTD.","Wube Software LTD.","427520","https://store.steampowered.com/app/427520","1597377600000"
"Lethal Company","1698033600000","true","13392557","9.99","114978813","37.13283926391407","97","AA","Zeekerss","Zeekerss","1966720","https://store.steampowered.com/app/1966720",""
"RimWorld","1467331200000","false","4016482","34.99","112201394","253.99388067741825","98","AA","Ludeon Studios","Ludeon Studios","294100","https://store.steampowered.com/app/294100","1539748800000"
"Don't Starve Together","1417392000000","false","17296992","14.99","105071845","100.28645357384629","96","AA","Klei Entertainment","Klei Entertainment","322330","https://store.steampowered.com/app/322330","1461211200000"
"Hades","1575954000000","false","6906205","24.99","101813717","41.01232277975702","98","AA","Supergiant Games","Supergiant Games","1145360","https://store.steampowered.com/app/1145360","1600315200000"
"Last Epoch","1556596800000","false","3166111","34.99","94275899","95.54537091956789","77","AA","Eleventh Hour Games","Eleventh Hour Games","899770","https://store.steampowered.com/app/899770","1708491600000"
"Brawlhalla","1396310400000","false","28680249","0","94002623.50922006","163.98261135982634","82","AAA","Ubisoft","Blue Mammoth Games","291550","https://store.steampowered.com/app/291550","1508212800000"
"Subnautica","1393632000000","false","6681450","29.99","92540220","32.232082648863624","97","AA","Unknown Worlds Entertainment","Unknown Worlds Entertainment","264710","https://store.steampowered.com/app/264710","1516683600000"
"Risk of Rain 2","1553745600000","false","6399878","24.99","91599348","53.75645812719263","93","AA","Gearbox Publishing","Hopoo Games","632360","https://store.steampowered.com/app/632360","1597118400000"
"7 Days to Die","1386892800000","false","9262955","44.99","87813117","201.18051563807043","89","AA","The Fun Pimps Entertainment LLC","The Fun Pimps","251570","https://store.steampowered.com/app/251570","1721865600000"
"Euro Truck Simulator 2","1356998400000","false","17866625","19.99","79892575","61.65763587069705","98","AA","SCS Software","SCS Software","227300","https://store.steampowered.com/app/227300","1350014400000"
"Warhammer 40,000: Darktide","1669784400000","false","2591406","39.99","79777795","49.93766097762116","70","AA","Fatshark","Fatshark","1361210","https://store.steampowered.com/app/1361210",""
"Human Fall Flat","1469160000000","false","14138451","19.99","73890177","15.634795840335087","95","AA","Curve Games","No Brakes Games","477160","https://store.steampowered.com/app/477160",""
"Cuphead","1506657600000","false","5070254","19.99","71527398","26.025048548438775","96","AA","Studio MDHR Entertainment Inc.","Studio MDHR Entertainment Inc.","268910","https://store.steampowered.com/app/268910",""
"ARK: Survival Ascended","1698206400000","true","1880937","44.99","70468670","131.61198516515918","59","AA","Studio Wildcard,Snail Games USA","Studio Wildcard,Grove Street Games,Instinct Games","2399830","https://store.steampowered.com/app/2399830",""
"Hollow Knight","1487912400000","false","8512517","14.99","65350203","46.60090724061804","97","AA","Team Cherry","Team Cherry","367520","https://store.steampowered.com/app/367520",""
"Oxygen Not Included","1493596800000","false","4822269","24.99","63022815","160.08255314013914","97","AA","Klei Entertainment","Klei Entertainment","457140","https://store.steampowered.com/app/457140","1564459200000"
"Eternal Return","1602648000000","false","4376399","0","61464685.66809772","231.71534008297215","80","AA","Nimble Neuron,SapStaR Games","Nimble Neuron","1049590","https://store.steampowered.com/app/1049590","1689739200000"
"Dead Cells","1493596800000","false","4726895","24.99","60056531","39.95800355204932","97","AA","Motion Twin","Motion Twin","588650","https://store.steampowered.com/app/588650","1533528000000"
"Hell Let Loose","1559793600000","false","2205649","49.99","58415922","118.41371678156405","82","AA","Team17","Team17","686810","https://store.steampowered.com/app/686810","1627358400000"
"SCUM","1535515200000","true","3440331","39.99","57547298","273.3254623822265","75","AA","Jagex Ltd","Gamepires","513710","https://store.steampowered.com/app/513710",""
"ASTRONEER","1480550400000","false","3727143","29.99","57003032","43.3311423078251","92","AA","System Era Softworks","System Era Softworks","361420","https://store.steampowered.com/app/361420","1549342800000"
"Slay the Spire","1509494400000","false","5441238","24.99","56384991","56.300127765473825","98","AA","Mega Crit","Mega Crit","646570","https://store.steampowered.com/app/646570","1548219600000"
"MORDHAU","1556510400000","false","2520657","29.99","55223880","129.04816071603048","80","AA","Triternion","Triternion","629760","https://store.steampowered.com/app/629760",""
"Beat Saber","1525132800000","false","2189049","29.99","55049203","54.44374075268264","96","AA","Beat Games","Beat Games","620980","https://store.steampowered.com/app/620980","1558411200000"
"Cult of the Lamb","1660190400000","false","3406033","24.99","53957271","28.043514536503537","96","AA","Devolver Digital","Massive Monster","1313140","https://store.steampowered.com/app/1313140",""
"Kerbal Space Program","1362096000000","false","3649424","39.99","53899227","138.31350072317832","95","AA","Private Division","Squad","220200","https://store.steampowered.com/app/220200","1430107200000"
"Assetto Corsa","1383264000000","false","5076696","19.99","52193645","71.14221948982555","93","AA","Kunos Simulazioni","Kunos Simulazioni","244210","https://store.steampowered.com/app/244210","1418965200000"
