steam_64_id,appid,name,playtime_forever,playtime_2weeks,has_community_visible_stats
76561198213997533,730,Counter-Strike 2,48418,0,True
76561199420545335,252490,Rust,801,0,True
76561199420545335,730,Counter-Strike 2,13382,687,True
76561199222444139,252490,Rust,1651,0,True
76561199222444139,730,Counter-Strike 2,1078,0,True
76561198366064809,730,Counter-Strike 2,105564,42,True
76561199022343379,240,Counter-Strike: Source,1301,0,True
76561199022343379,218620,PAYDAY 2,615,0,True
76561199022343379,730,Counter-Strike 2,65236,210,True
76561199022343379,252490,Rust,6482,0,True
76561198156752121,730,Counter-Strike 2,1032,0,True
76561198178788157,252490,Rust,6232,0,True
76561198178788157,730,Counter-Strike 2,50051,0,True
76561198401702420,730,Counter-Strike 2,213066,0,True
76561198450391813,730,Counter-Strike 2,75755,1,True
76561198375674935,252490,Rust,40997,0,True
76561198375674935,730,Counter-Strike 2,99829,387,True
76561198341939549,240,Counter-Strike: Source,1120,0,True
76561198341939549,218620,PAYDAY 2,9983,0,True
76561198341939549,222880,Insurgency,746,0,True
76561198341939549,730,Counter-Strike 2,17461,434,True
76561199152058633,730,Counter-Strike 2,9652,0,True
76561198843621975,730,Counter-Strike 2,912,0,True
76561198113208948,240,Counter-Strike: Source,36504,0,True
76561198113208948,730,Counter-Strike 2,304329,602,True
76561198113208948,222880,Insurgency,1459,0,True
76561199047227748,730,Counter-Strike 2,1906,0,True
76561198102070232,730,Counter-Strike 2,38880,0,True
76561198113746514,730,Counter-Strike 2,5606,0,True
76561198113746514,648800,Raft,1143,0,True
76561198079595463,730,Counter-Strike 2,104814,65,True
76561198079595463,218620,PAYDAY 2,2326,0,True
76561198079595463,252490,Rust,3068,0,True
76561199112620830,730,Counter-Strike 2,24713,72,True
76561199635424860,730,Counter-Strike 2,2710,0,True
76561198205604075,730,Counter-Strike 2,22536,0,True
76561198991235907,730,Counter-Strike 2,11233,158,True
76561199208946740,730,Counter-Strike 2,2375,0,True
76561199243010501,730,Counter-Strike 2,8481,154,True
76561199243010501,252490,Rust,6066,0,True
76561198862627878,730,Counter-Strike 2,9326,0,True
