"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"PUBG: BATTLEGROUNDS","1488326400000","1513832400000","false","118010577","0","4509305024.259357","214.47835500526097","59","AAA","KRAFTON, Inc.","PUBG Corporation","578080","https://store.steampowered.com/app/578080"
"Apex Legends™","1604466000000","","false","64522005","0","1365955732.395594","400.78880041037985","67","AAA","Electronic Arts","Respawn","1172470","https://store.steampowered.com/app/1172470"
"Black Myth: Wukong","1724025600000","","false","22048551","59.99","960731138","57.396417169300186","97","AAA","Game Science","Game Science","2358720","https://store.steampowered.com/app/2358720"
"Destiny 2","1569902400000","","false","23762508","0","819094117.4475751","309.01364443927145","80","AAA","Bungie","Bungie","1085660","https://store.steampowered.com/app/1085660"
"Baldur's Gate 3","1601956800000","1691035200000","false","14673954","59.99","736370504","119.02947775189358","97","AAA","Larian Studios","Larian Studios","1086940","https://store.steampowered.com/app/1086940"
"Grand Theft Auto V","1428897600000","","false","45604225","0","541922716.7435989","105.09305226620357","87","AAA","Rockstar Games","Rockstar North","271590","https://store.steampowered.com/app/271590"
"Palworld","1705554000000","","true","18877670","29.99","442593720","79.72423001547446","94","AA","Pocketpair","Pocketpair","1623730","https://store.steampowered.com/app/1623730"
"Lost Ark","1623369600000","1644555600000","false","15402414","0","391724523.86033404","389.9978123497944","71","AAA","Amazon Games","Smilegate RPG","1599340","https://store.steampowered.com/app/1599340"
"Red Dead Redemption 2","1575522000000","","false","15683653","59.99","365738582","75.9438979512821","92","AAA","Rockstar Games","Rockstar Games","1174180","https://store.steampowered.com/app/1174180"
"Rust","1385856000000","1518066000000","false","19413277","39.99","338762728","302.4282421975935","87","AA","Facepunch Studios","Facepunch Studios","252490","https://store.steampowered.com/app/252490"
"Hogwarts Legacy","1676005200000","","false","7693615","59.99","324753259","43.54097198415191","91","AAA","Warner Bros. Games","Avalanche Software","990080","https://store.steampowered.com/app/990080"
"NARAKA: BLADEPOINT","1628654400000","","false","16343920","0","323547454.3683928","269.4650434258594","75","AA","NetEase Games Global","24 Entertainment","1203220","https://store.steampowered.com/app/1203220"
"Sons Of The Forest","1677128400000","1708578000000","false","9617393","29.99","230030956","34.724684367349866","88","AA","Newnight","Endnight Games Ltd","1326470","https://store.steampowered.com/app/1326470"
"ARK: Survival Evolved","1433116800000","1503806400000","false","16884052","14.99","225835246","269.46607612488975","84","AA","Studio Wildcard,Snail Games USA","Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC","346110","https://store.steampowered.com/app/346110"
"No Man's Sky","1470974400000","","false","6256959","59.99","221091183","98.3160080672593","83","AA","Hello Games","Hello Games","275850","https://store.steampowered.com/app/275850"
"Path of Exile","1382500800000","","false","13940453","0","205222729.57172537","455.99936881193474","90","AA","Grinding Gear Games","Grinding Gear Games","238960","https://store.steampowered.com/app/238960"
"DayZ","1385856000000","1544677200000","false","7802481","49.99","199511305","245.25892465745076","76","AA","Bohemia Interactive","Bohemia Interactive","221100","https://store.steampowered.com/app/221100"
"Sea of Thieves: 2024 Edition","1591156800000","","false","8792121","39.99","198776903","64.44493561119471","89","AAA","Xbox Game Studios","Rare Ltd","1172620","https://store.steampowered.com/app/1172620"
"Sekiro™: Shadows Die Twice - GOTY Edition","1553140800000","","false","5615782","59.99","186009023","40.352091460599034","95","AA","Activision (Excluding Japan and Asia),FromSoftware, Inc. (Japan),方块游戏 (Asia)","FromSoftware, Inc.","814380","https://store.steampowered.com/app/814380"
"Forza Horizon 5","1636347600000","","false","5850879","59.99","185425299","58.14820154264891","89","AAA","Xbox Game Studios","Playground Games","1551360","https://store.steampowered.com/app/1551360"
"The Forest","1398902400000","1525060800000","false","21290241","19.99","159441560","24.622146625205534","96","AA","Endnight Games Ltd","Endnight Games Ltd","242760","https://store.steampowered.com/app/242760"
"Divinity: Original Sin 2 - Definitive Edition","1472688000000","1505361600000","false","6089422","44.99","152560604","72.80302519431427","96","AAA","Larian Studios","Larian Studios","435150","https://store.steampowered.com/app/435150"
"Raft","1527048000000","1655697600000","false","11895618","19.99","151710247","29.09935427079548","93","AA","Axolot Games","Redbeet Interactive","648800","https://store.steampowered.com/app/648800"
"Valheim","1612242000000","","true","11247709","19.99","149074875","60.31920770430348","94","AA","Coffee Stain Publishing","Iron Gate AB","892970","https://store.steampowered.com/app/892970"
"Ready or Not","1639717200000","1702443600000","false","4994019","49.99","147012931","35.03936600949909","89","AA","VOID Interactive","VOID Interactive","1144200","https://store.steampowered.com/app/1144200"
"New World: Aeternum","1632801600000","","false","5593628","59.99","146687573","315.683316678371","69","AAA","Amazon Games","Amazon Games","1063730","https://store.steampowered.com/app/1063730"
"Call of Duty®: Black Ops III","1446699600000","","false","5113985","59.99","143867427","45.85205137299642","84","AAA","Activision,Aspyr (Mac)","Treyarch,Aspyr (Mac)","311210","https://store.steampowered.com/app/311210"
"SMITE®","1441684800000","","false","9798659","0","140694445.50871846","358.8319300754879","79","AA","Hi-Rez Studios","Titan Forge Games","386360","https://store.steampowered.com/app/386360"
"Warhammer 40,000: Space Marine 2","1725840000000","","false","2649095","59.99","138831973","25.903845435392537","83","AA","Focus Entertainment","Saber Interactive","2183900","https://store.steampowered.com/app/2183900"
"Terraria","1305518400000","","false","27428079","9.99","135789622","108.71978640595145","98","AA","Re-Logic","Re-Logic","105600","https://store.steampowered.com/app/105600"
"It Takes Two","1616644800000","","false","7965317","39.99","135622799","15.866955895824916","95","AAA","Electronic Arts","Hazelight Studios","1426210","https://store.steampowered.com/app/1426210"
"Path of Exile 2","1733443200000","","true","4789151","29.99","129263974","86.39957034077109","81","AA","Grinding Gear Games","Grinding Gear Games","2694490","https://store.steampowered.com/app/2694490"
"Satisfactory","1591574400000","1725926400000","false","5693125","39.99","128899013","136.25897952397088","97","AA","Coffee Stain Publishing","Coffee Stain Studios","526870","https://store.steampowered.com/app/526870"
"Far Cry® 5","1522036800000","","false","5778008","59.99","128576640","37.45463220368084","81","AAA","Ubisoft","Ubisoft Montreal,Red Storm,Ubisoft Shanghai,Ubisoft Toronto,Ubisoft Kiev","552520","https://store.steampowered.com/app/552520"
"Battlefield™ 2042","1637298000000","","false","6698519","59.99","128301116","0","46","AAA","Electronic Arts","DICE","1517290","https://store.steampowered.com/app/1517290"
"The First Descendant","1719720000000","","false","4093824","0","115544732","80.26665233118018","57","AA","NEXON","NEXON Games Co., Ltd.","2074920","https://store.steampowered.com/app/2074920"
"Lethal Company","1698033600000","","true","13392557","9.99","114978813","37.13283926391407","97","AA","Zeekerss","Zeekerss","1966720","https://store.steampowered.com/app/1966720"
"Portal 2","1303099200000","","false","19479826","9.99","111381295","21.5677233953821","99","AAA","Valve","Valve","620","https://store.steampowered.com/app/620"
"Resident Evil 4","1679544000000","","false","2904993","39.99","110938433","40.40822339156537","98","AAA","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","2050650","https://store.steampowered.com/app/2050650"
"The Sims™ 4","1592452800000","","false","25720188","0","110496729.38659675","29.588639749492557","87","AAA","Electronic Arts","Maxis","1222670","https://store.steampowered.com/app/1222670"
"Dying Light 2 Stay Human: Reloaded Edition","1643864400000","","false","3533342","59.99","109698465","46.5049655480378","79","AA","Techland","Techland","534380","https://store.steampowered.com/app/534380"
"Don't Starve Together","1417392000000","1461211200000","false","17296992","14.99","105071845","100.28645357384629","96","AA","Klei Entertainment","Klei Entertainment","322330","https://store.steampowered.com/app/322330"
"THRONE AND LIBERTY","1727740800000","","false","3592147","0","102196584","96.69742956293247","69","AAA","Amazon Games","NCSOFT","2429640","https://store.steampowered.com/app/2429640"
"Last Epoch","1556596800000","1708491600000","false","3166111","34.99","94275899","95.54537091956789","77","AA","Eleventh Hour Games","Eleventh Hour Games","899770","https://store.steampowered.com/app/899770"
"STAR WARS Jedi: Fallen Order™","1573707600000","","false","4201209","39.99","93470386","14.890331045015328","89","AAA","Electronic Arts","Respawn Entertainment","1172380","https://store.steampowered.com/app/1172380"
"Subnautica","1393632000000","1516683600000","false","6681450","29.99","92540220","32.232082648863624","97","AA","Unknown Worlds Entertainment","Unknown Worlds Entertainment","264710","https://store.steampowered.com/app/264710"
"7 Days to Die","1386892800000","1721865600000","false","9262955","44.99","87813117","201.18051563807043","89","AA","The Fun Pimps Entertainment LLC","The Fun Pimps","251570","https://store.steampowered.com/app/251570"
"Assassin's Creed® Odyssey","1538712000000","","false","4319820","59.99","86701852","54.268854528650905","89","AAA","Ubisoft","Ubisoft Quebec,Ubisoft Montreal,Ubisoft Bucharest,Ubisoft Singapore,Ubisoft Montpellier,Ubisoft Kiev,Ubisoft Shanghai","812140","https://store.steampowered.com/app/812140"
"STAR WARS Jedi: Survivor™","1682568000000","","false","1878097","69.99","86033479","19.59105834360493","68","AAA","Electronic Arts","Respawn","1774580","https://store.steampowered.com/app/1774580"
"Rise of the Tomb Raider™","1454994000000","","false","5636038","29.99","85446231","16.554975750901868","94","AA","Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)","Crystal Dynamics,Eidos-Montréal,Feral Interactive (Mac),Feral Interactive (Linux),Nixxes","391220","https://store.steampowered.com/app/391220"
"V Rising","1652760000000","1715140800000","false","4622891","34.99","83585063","32.91485176918027","89","AA","Stunlock Studios","Stunlock Studios","1604030","https://store.steampowered.com/app/1604030"
"Half-Life: Alyx","1584936000000","","false","2015939","59.99","82287750","0","98","AAA","Valve","Valve","546560","https://store.steampowered.com/app/546560"
"Tom Clancy's Ghost Recon® Wildlands","1488776400000","","false","3558055","49.99","81045490","44.920991394396125","80","AAA","Ubisoft","Ubisoft Paris,Ubisoft Annecy,Ubisoft Bucharest,Ubisoft Montpellier,Ubisoft Milan,Reflections,Ubisoft Belgrade","460930","https://store.steampowered.com/app/460930"
"Marvel’s Spider-Man Remastered","1660276800000","","false","2059679","59.99","80103066","32.24199901765809","96","AAA","PlayStation Publishing LLC","Insomniac Games,Nixxes Software","1817070","https://store.steampowered.com/app/1817070"
"Warhammer 40,000: Darktide","1669784400000","","false","2591406","39.99","79777795","49.93766097762116","70","AA","Fatshark","Fatshark","1361210","https://store.steampowered.com/app/1361210"
"Street Fighter™ 6","1685592000000","","false","1840355","59.99","78180936","71.97288907105775","86","AAA","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","1364780","https://store.steampowered.com/app/1364780"
"Assassin’s Creed® IV Black Flag™","1384837200000","","false","2611280","39.99","77497992","34.92779650357551","89","Hobbyist","","Ubisoft Montreal","242050","https://store.steampowered.com/app/242050"
"God of War","1642136400000","","false","2752189","49.99","75286787","27.055646285473422","96","AAA","PlayStation Publishing LLC","Santa Monica Studio,Jetpack Interactive","1593500","https://store.steampowered.com/app/1593500"
