Genre,IDF_Playtime
Adult Content,11.573913133992027
Violent,11.100373304652223
Software & Tools,6.0255443491670695
Media & Production,5.269049063037866
Racing,5.146919596836766
Photo Editing,5.013399590120015
Design & Illustration,4.681875708527251
Early Access,4.51462066423603
Utilities,4.291551187654503
Sports,4.071416907776752
Casual,3.4731057558721896
Simulation,2.858058530093134
MMO,2.4528474996891916
Indie,2.3522503592925013
RPG,2.3073596615845955
Adventure,1.830604986738837
Strategy,0.5306961854486326
Free-to-Play,0.2707805651259192
Action,0.09708428121781025
