appid,genres
570,"Action, Strategy, Free To Play"
730,"Бойовики, Вільний доступ"
786520,"Utilities, Early Access"
1056640,"Action, Massively Multiplayer, RPG, Free To Play"
8500,"Action, Massively Multiplayer, RPG, Strategy, Free To Play"
10,Action
289070,Strategy
271590,"Action, Adventure"
1623660,"Action, Adventure, Massively Multiplayer, RPG, Free To Play"
629520,"Створення звуку, Службові програми"
252490,"Бойовики, Пригоди, Інді, MMO, Рольові ігри"
1258080,"Adventure, Casual, RPG, Simulation, Free To Play"
313340,
4000,"Rekreacyjne, Niezależne, Symulacje"
550,Action
1085660,"Action, Adventure, Free To Play"
250900,Action
2167580,"Action, Adventure, Massively Multiplayer, RPG, Strategy, Free To Play"
384300,"Design & Illustration, Utilities"
1973710,"Adventure, RPG, Free To Play"
578080,"Action, Adventure, Massively Multiplayer, Free To Play"
431960,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities"
39210,"Massively Multiplayer, RPG"
304930,"Action, Adventure, Casual, Indie, Free To Play"
216150,"Action, Adventure, Casual, Massively Multiplayer, RPG, Free To Play"
582660,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy"
375450,Strategy
221100,"Action, Adventure, Massively Multiplayer"
944770,"Audio Production, Design & Illustration, Utilities, Video Production, Web Publishing"
12120,Action
400040,"Free To Play, Audio Production, Design & Illustration, Photo Editing, Utilities, Video Production, Web Publishing"
359550,Action
236850,"Simulation, Strategy"
240,Action
1267910,"Adventure, Casual, Indie, RPG"
1283970,"Animation & Modeling, Design & Illustration, Education, Software Training, Utilities"
230410,"Action, RPG, Free To Play"
594650,Action
524660,"Animation & Modeling, Design & Illustration, Utilities, Video Production"
221040,"Action, Adventure"
438100,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access"
346110,"Action, Adventure, Indie, Massively Multiplayer, RPG"
389730,"Action, Sports"
48700,"Action, RPG"
440,"Action, Free To Play"
552990,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play"
386180,"Action, Adventure, Massively Multiplayer, Racing, Free To Play"
236390,"Action, Massively Multiplayer, Simulation, Free To Play"
381210,Action
107410,"Action, Simulation, Strategy"
758670,
1046930,"Casual, Free To Play, Strategy"
331470,"Adventure, Casual, Indie, Free To Play"
433850,"Action, Adventure, Free To Play, Massively Multiplayer"
877280,Utilities
836620,
218620,"Бойовики, Рольові ігри"
966610,"Utilities, Video Production, Web Publishing, Game Development"
835570,"Action, Massively Multiplayer, RPG, Strategy, Free To Play"
1599340,"Action, Adventure, Massively Multiplayer, RPG, Free To Play"
1089350,"Simulation, Sports"
761890,"Massively Multiplayer, RPG, Free To Play"
42690,
1250,Action
1329410,
1881700,"Adventure, Massively Multiplayer, RPG, Free To Play"
238960,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play"
326460,"Action, Casual, Indie, Massively Multiplayer, Strategy"
505460,"Action, Indie, Massively Multiplayer, RPG, Strategy"
958260,
840260,"Action, Adventure, Casual, Free To Play, Indie, Massively Multiplayer, Racing, RPG, Strategy"
1250410,Simulation
620,"Action, Adventure"
1100600,"Simulation, Sports"
1013320,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Simulation, Strategy, Free To Play"
1787090,Utilities
109600,"Action, Adventure, Massively Multiplayer, RPG, Free To Play"
365670,"Анімація та моделювання, Дизайн та ілюстрація, Створення відео"
440900,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy"
1468260,"Casual, Indie, Free To Play"
346900,"Casual, Indie, Free To Play"
444090,"Action, Adventure, Massively Multiplayer, Strategy, Free To Play"
438040,"Adventure, Casual, Indie, Massively Multiplayer, RPG, Strategy, Free To Play"
1063730,"Action, Adventure, Massively Multiplayer, RPG"
284160,"Wyścigowe, Symulacje, Wczesny dostęp"
1201240,"Action, Casual, RPG, Free To Play"
646910,"Action, Massively Multiplayer, Racing"
268420,
457140,"Indie, Simulation"
294100,"Indie, Simulation, Strategy"
70,Action
252950,"Action, Indie, Racing, Sports"
551170,"Adventure, RPG, Strategy"
218230,"Action, Massively Multiplayer, Free To Play"
394360,"Simulation, Strategy"
1366800,"Action, Adventure, Indie, Animation & Modeling, Design & Illustration, Education, Photo Editing, Utilities, Game Development"
268850,Utilities
1172470,"Action, Adventure, Free To Play"
1009850,Utilities
1541840,
706220,
690510,"Free To Play, Indie, Strategy"
24960,Action
1551360,"Action, Adventure, Racing, Simulation, Sports"
585410,"Animation & Modeling, Design & Illustration, Education, Software Training, Utilities, Web Publishing, Game Development"
322330,"Action, Adventure, Indie, RPG, Simulation, Strategy"
1203220,"Action, Adventure, Massively Multiplayer"
224260,"Action, Indie, Free To Play"
1284410,"RPG, Strategy, Free To Play"
232090,Action
1172620,"Action, Adventure"
464350,"Indie, Massively Multiplayer, Simulation, Strategy"
1812620,Utilities
389300,
552500,"Action, Indie, RPG"
766570,"Adventure, Casual, Massively Multiplayer, RPG, Simulation, Sports, Free To Play"
1292630,"Action, Casual, Indie, RPG, Sports, Free To Play"
222940,Action
231430,Strategy
601510,"Strategy, Free To Play"
339610,"Action, Casual, Massively Multiplayer, Sports, Free To Play"
544810,"Casual, Indie, Strategy, Free To Play"
281990,"Simulation, Strategy"
227300,"Indie, Simulation"
453480,"Strategy, Free To Play"
286160,"Casual, Indie, RPG, Simulation, Strategy"
444200,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play"
386360,"Action, Adventure, Casual, Massively Multiplayer, RPG, Strategy, Free To Play"
1147560,"Action, Indie"
251060,"Indie, Simulation, Strategy"
381640,"Экшены, Многопользовательские игры, Ролевые игры, Бесплатные"
1891700,"Action, Casual, Indie, RPG, Free To Play"
20,Action
10190,Action
1454400,"Casual, Indie, Simulation, Strategy"
2471100,"Casual, Simulation, Free To Play, Early Access"
610080,"Free To Play, RPG, Strategy"
1476970,"Casual, Indie, Massively Multiplayer, RPG, Simulation, Free To Play, Early Access"
1371580,"Action, Adventure, Indie, Massively Multiplayer, RPG"
1286830,"Massively Multiplayer, RPG, Free To Play"
602960,"Action, Indie, Simulation, Strategy"
228180,"Audio Production, Education, Software Training, Utilities, Video Production, Web Publishing"
322170,"Action, Indie"
393420,"Action, Adventure, Simulation"
1325860,"Indie, Animation & Modeling, Video Production"
292030,RPG
513710,"Action, Adventure, Indie, Massively Multiplayer, Early Access"
393380,"Бойовики, Інді, MMO, Стратегії"
1477830,"Action, Education, Software Training, Utilities, Video Production"
228200,"Action, Strategy"
203770,"RPG, Simulation, Strategy, Free To Play"
1097430,"Action, Adventure, Casual, Massively Multiplayer, RPG, Simulation, Sports, Strategy, Free To Play, Early Access"
380600,"Massively Multiplayer, Simulation, Sports, Free To Play"
552100,Simulation
372000,"Massively Multiplayer, RPG, Free To Play"
1449850,"Simulation, Strategy, Free To Play"
1818450,"Action, Adventure, Massively Multiplayer, RPG"
2300,Action
202990,Action
1466860,Strategy
113400,"Action, Massively Multiplayer, Free To Play"
2717260,"Adventure, Indie, Simulation"
627690,"Action, Adventure, Indie, Strategy, Free To Play"
1898830,"Casual, Animation & Modeling, Utilities"
779340,"Action, Strategy"
1284210,"Adventure, Massively Multiplayer, RPG, Free To Play"
1180320,
235340,
219600,
976310,Action
1096900,"RPG, Design & Illustration, Education, Web Publishing, Game Development"
306130,"Action, Adventure, Massively Multiplayer, RPG"
359320,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy"
304390,Action
24010,Simulation
1904540,"Simulation, Sports"
1068820,Utilities
1549250,"Action, Adventure, RPG, Free To Play"
1506830,"Simulation, Sports"
310950,Action
841370,"Simulation, Sports"
698780,"Casual, Free To Play, Indie"
960090,Strategy
479130,Utilities
1938090,Action
1418630,"Action, Adventure, Indie"
784150,"Simulation, Strategy"
2399830,"Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access"
1263850,
1366540,"Indie, Simulation, Strategy, Early Access"
251570,"Action, Adventure, Indie, RPG, Simulation, Strategy"
1377580,"Action, Massively Multiplayer, RPG, Free To Play"
427520,"Casual, Indie, Simulation, Strategy"
270150,"Action, Indie"
500,Action
72200,
690530,"Action, Indie, RPG, Early Access"
105600,"Action, Adventure, Indie, RPG"
1151340,RPG
1517290,"Бойовики, Пригоди, Казуальні ігри"
471710,"Adventure, Casual, Massively Multiplayer, Free To Play"
1041320,"Massively Multiplayer, RPG, Strategy, Free To Play"
333600,"Casual, Indie"
1569040,
321360,"Action, Indie"
99900,"Action, Adventure, Casual, Free To Play, Indie, Massively Multiplayer, RPG"
700330,"Action, Free To Play"
707010,"Action, Indie, Massively Multiplayer, RPG, Free To Play, Early Access"
378120,
582010,Action
866510,"Adventure, Casual, Indie"
2923300,"Adventure, Casual, Simulation, Strategy, Free To Play"
493490,"Indie, Racing, Simulation"
624090,
